pollster,date,sampleSize,marginError,dvalue,rvalue,state,Year,Type
Magellan Strategies (R),2014-06-05,755.0,3.6,45.0,49.0,Arkansas,2014,Senate
Rasmussen Reports,2014-05-28,750.0,4.0,43.0,47.0,Arkansas,2014,Senate
PPP (D),2014-04-27,,3.4,43.0,42.0,Arkansas,2014,Senate
NBC News/Marist,2014-05-04,,3.3,51.0,40.0,Arkansas,2014,Senate
Magellan Strategies (R),2014-04-15,857.0,3.4,43.0,46.0,Arkansas,2014,Senate
NY Times/Kaiser,2014-04-15,,4.0,46.0,36.0,Arkansas,2014,Senate
Talk Business Poll*,2014-04-04,1068.0,3.0,46.0,43.0,Arkansas,2014,Senate
Opinion Research Associates,2014-04-08,,5.0,48.0,38.0,Arkansas,2014,Senate
CEA/Hickman Analytics (D),2014-02-20,400.0,4.9,46.0,46.0,Arkansas,2014,Senate
Impact Management Group (R),2014-02-10,,2.8,42.0,46.0,Arkansas,2014,Senate
Rasmussen Reports,2014-02-05,500.0,4.5,40.0,45.0,Arkansas,2014,Senate
The Arkansas Poll,2014-10-17,,,36.0,37.0,Arkansas,2014,Senate
Impact Management Group (R),2014-10-24,,3.2,41.0,42.0,Arkansas,2014,Senate
Talk Business Poll,2014-10-08,603.0,4.0,42.0,41.0,Arkansas,2014,Senate
WFB/The Polling Company (R),2014-08-07,,4.0,45.0,43.0,Arkansas,2014,Senate
Harper (R),2014-08-05,587.0,4.0,41.0,43.0,Arkansas,2014,Senate
rcp_average,,,,41.2,48.2,Arkansas,2014,Senate
rcp_average,2014-11-02,,,45.0,46.5,Colorado,2014,Senate
PPP (D)*,2014-11-02,739.0,3.6,43.0,48.0,Colorado,2014,Senate
Quinnipiac*,2014-11-02,815.0,3.4,44.0,45.0,Colorado,2014,Senate
Denver Post/SurveyUSA*,2014-10-29,618.0,4.0,42.0,46.0,Colorado,2014,Senate
YouGov,2014-10-31,1417.0,3.3,45.0,43.0,Colorado,2014,Senate
Rasmussen Reports,2014-10-23,966.0,3.0,45.0,51.0,Colorado,2014,Senate
NBC News/Marist,2014-10-22,755.0,3.6,45.0,46.0,Colorado,2014,Senate
rcp_average,2014-11-02,,,43.0,46.5,Colorado,2014,Senate
PPP (D)*,2014-11-02,739.0,3.6,44.0,48.0,Colorado,2014,Senate
Quinnipiac*,2014-11-02,815.0,3.4,42.0,45.0,Colorado,2014,Senate
Denver Post/SurveyUSA*,2014-10-29,618.0,4.0,39.0,46.0,Colorado,2014,Senate
Quinnipiac*,2014-10-27,844.0,3.4,45.0,46.0,Colorado,2014,Senate
Rasmussen Reports,2014-10-23,966.0,3.0,47.0,51.0,Colorado,2014,Senate
NBC News/Marist,2014-10-22,755.0,3.6,39.0,46.0,Colorado,2014,Senate
CBS News/NYT/YouGov,2014-10-23,1611.0,4.0,44.0,46.0,Colorado,2014,Senate
USA Today/Suffolk*,2014-10-21,500.0,4.4,41.0,46.0,Colorado,2014,Senate
PPP (D),2014-10-19,778.0,3.5,45.0,47.0,Colorado,2014,Senate
Quinnipiac*,2014-10-21,974.0,3.1,46.0,46.0,Colorado,2014,Senate
Reuters/Ipsos,2014-10-20,1099.0,3.4,43.0,47.0,Colorado,2014,Senate
CNN/Opinion Research,2014-10-13,665.0,4.0,41.0,50.0,Colorado,2014,Senate
Denver Post/SurveyUSA*,2014-10-12,591.0,4.1,42.0,45.0,Colorado,2014,Senate
Quinnipiac*,2014-10-13,988.0,3.1,37.0,47.0,Colorado,2014,Senate
High Point/SurveyUSA,2014-10-08,800.0,3.5,48.0,46.0,Colorado,2014,Senate
FOX News,2014-10-07,739.0,3.5,47.0,43.0,Colorado,2014,Senate
CBS News/NYT/YouGov,2014-10-01,1634.0,3.0,42.0,45.0,Colorado,2014,Senate
Rasmussen Reports,2014-09-30,950.0,3.0,40.0,48.0,Colorado,2014,Senate
USA Today/Suffolk*,2014-09-16,500.0,4.4,46.0,43.0,Colorado,2014,Senate
Quinnipiac*,2014-09-15,1211.0,2.8,44.0,48.0,Colorado,2014,Senate
Denver Post/SurveyUSA*,2014-09-10,664.0,3.9,48.0,42.0,Colorado,2014,Senate
Rasmussen Reports,2014-09-04,800.0,4.0,46.0,42.0,Colorado,2014,Senate
NBC News/Marist,2014-09-04,795.0,3.5,51.0,42.0,Colorado,2014,Senate
CBS News/NYT/YouGov,2014-09-02,1727.0,4.0,44.0,43.0,Colorado,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,3.0,42.0,47.0,Colorado,2014,Senate
PPP (D),2014-07-20,,3.8,48.0,43.0,Colorado,2014,Senate
Quinnipiac,2014-07-14,,2.9,43.0,44.0,Colorado,2014,Senate
NBC News/Marist,2014-07-10,,3.2,45.0,41.0,Colorado,2014,Senate
Rasmussen Reports,2014-06-26,750.0,4.0,47.0,42.0,Colorado,2014,Senate
Magellan Strategies (R),2014-06-08,747.0,3.5,45.0,47.0,Colorado,2014,Senate
PPP (D),2014-05-08,,4.3,45.0,43.0,Colorado,2014,Senate
Magellan Strategies (R),2014-04-15,717.0,3.7,42.0,42.0,Colorado,2014,Senate
Quinnipiac,2014-04-21,,2.7,42.0,44.0,Colorado,2014,Senate
rcp_average,2014-10-23,,,51.0,36.0,Delaware,2014,Senate
CBS News/NYT/YouGov,2014-10-23,461.0,7.0,54.0,25.0,Delaware,2014,Senate
University of Delaware*,2014-09-22,,,50.0,34.0,Delaware,2014,Senate
Rasmussen Reports,2014-09-12,750.0,4.0,49.0,36.0,Delaware,2014,Senate
rcp_average,2014-10-23,,,51.0,35.0,Delaware,2014,Senate
CBS News/NYT/YouGov,2014-10-01,471.0,5.0,51.0,34.0,Delaware,2014,Senate
University of Delaware*,2014-09-22,,,50.0,35.0,Delaware,2014,Senate
Rasmussen Reports,2014-09-12,750.0,4.0,49.0,,Delaware,2014,Senate
CBS News/NYT/YouGov,2014-09-02,697.0,5.0,48.0,,Delaware,2014,Senate
rcp_average,,,,51.0,,Delaware,2014,Senate
rcp_average,2014-11-03,,,44.8,47.8,Georgia,2014,Senate
WSB-TV/Landmark,2014-11-02,1500.0,2.5,46.0,50.0,Georgia,2014,Senate
PPP (D),2014-11-03,975.0,3.1,45.0,46.0,Georgia,2014,Senate
SurveyUSA,2014-11-02,591.0,4.1,44.0,47.0,Georgia,2014,Senate
InsiderAdvantage,2014-11-02,1463.0,2.6,45.0,48.0,Georgia,2014,Senate
NBC News/Marist,2014-10-30,603.0,4.0,44.0,48.0,Georgia,2014,Senate
WSB-TV/Landmark,2014-10-29,1500.0,2.5,47.0,47.0,Georgia,2014,Senate
YouGov,2014-10-31,1743.0,3.2,42.0,44.0,Georgia,2014,Senate
SurveyUSA,2014-10-27,611.0,4.0,45.0,48.0,Georgia,2014,Senate
Atlanta Journal-Constitution,2014-10-23,1170.0,3.6,42.0,44.0,Georgia,2014,Senate
CBS News/NYT/YouGov,2014-10-23,1774.0,4.0,44.0,47.0,Georgia,2014,Senate
InsiderAdvantage,2014-10-22,704.0,3.7,47.0,45.0,Georgia,2014,Senate
WSB-TV/Landmark,2014-10-21,1000.0,2.8,47.0,47.0,Georgia,2014,Senate
CNN/Opinion Research,2014-10-22,565.0,4.0,47.0,44.0,Georgia,2014,Senate
SurveyUSA,2014-10-20,606.0,4.1,46.0,44.0,Georgia,2014,Senate
WRBL/Ledger-Enquirer/PMB,2014-10-14,1543.0,2.5,46.0,45.0,Georgia,2014,Senate
SurveyUSA,2014-10-13,563.0,4.2,48.0,45.0,Georgia,2014,Senate
WSB-TV/Landmark,2014-10-09,1000.0,3.1,46.0,46.0,Georgia,2014,Senate
SurveyUSA,2014-10-06,566.0,4.2,45.0,46.0,Georgia,2014,Senate
PPP (D),2014-10-05,895.0,3.3,43.0,45.0,Georgia,2014,Senate
InsiderAdvantage,2014-10-01,947.0,3.2,43.0,47.0,Georgia,2014,Senate
CBS News/NYT/YouGov,2014-10-01,1851.0,3.0,43.0,47.0,Georgia,2014,Senate
SurveyUSA,2014-09-22,550.0,4.3,45.0,46.0,Georgia,2014,Senate
InsiderAdvantage,2014-09-11,1167.0,2.9,40.0,50.0,Georgia,2014,Senate
WSB-TV/Landmark,2014-09-11,1109.0,2.9,46.0,43.0,Georgia,2014,Senate
Atlanta Journal-Constitution,2014-09-11,884.0,4.0,41.0,45.0,Georgia,2014,Senate
SurveyUSA,2014-09-08,558.0,4.2,44.0,47.0,Georgia,2014,Senate
CBS News/NYT/YouGov,2014-09-02,1900.0,3.0,41.0,47.0,Georgia,2014,Senate
WRBL/Ledger-Enquirer/PMB,2014-08-25,1578.0,2.5,45.0,43.0,Georgia,2014,Senate
WSB-TV/Landmark,2014-08-21,600.0,4.0,47.0,40.0,Georgia,2014,Senate
SurveyUSA,2014-08-17,560.0,4.2,41.0,50.0,Georgia,2014,Senate
InsiderAdvantage,2014-08-13,719.0,3.7,40.0,47.0,Georgia,2014,Senate
WSB-TV/Landmark,2014-07-25,750.0,3.8,47.0,43.0,Georgia,2014,Senate
SurveyUSA,2014-06-05,999.0,3.2,38.0,43.0,Georgia,2014,Senate
rcp_average,2014-10-23,,,61.7,25.0,Hawaii,2014,Senate
CBS News/NYT/YouGov,2014-10-23,1002.0,6.0,70.0,18.0,Hawaii,2014,Senate
Honolulu Civil Beat/MRG,2014-10-19,1221.0,2.8,55.0,29.0,Hawaii,2014,Senate
Rasmussen Reports,2014-09-10,750.0,4.0,60.0,28.0,Hawaii,2014,Senate
CBS News/NYT/YouGov,2014-10-01,1319.0,4.0,71.0,17.0,Hawaii,2014,Senate
Honolulu Civil Beat/MRG,2014-09-14,1055.0,3.0,62.0,25.0,Hawaii,2014,Senate
CBS News/NYT/YouGov,2014-09-02,655.0,6.0,62.0,27.0,Hawaii,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,3.0,58.0,22.0,Hawaii,2014,Senate
rcp_average,,,,61.7,25.0,Hawaii,2014,Senate
rcp_average,2014-10-23,,,30.3,55.0,Idaho,2014,Senate
CBS News/NYT/YouGov,2014-10-23,575.0,6.0,30.0,61.0,Idaho,2014,Senate
PPP (D),2014-10-12,522.0,4.3,32.0,50.0,Idaho,2014,Senate
Rasmussen Reports,2014-05-29,750.0,4.0,29.0,54.0,Idaho,2014,Senate
CBS News/NYT/YouGov,2014-10-01,594.0,5.0,27.0,64.0,Idaho,2014,Senate
CBS News/NYT/YouGov,2014-09-02,844.0,4.0,25.0,59.0,Idaho,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,4.2,31.0,65.0,Idaho,2014,Senate
rcp_average,,,,30.3,55.0,Idaho,2014,Senate
rcp_average,2014-11-02,,,49.8,41.0,Illinois,2014,Senate
PPP (D)*,2014-11-02,1064.0,3.0,51.0,39.0,Illinois,2014,Senate
Chicago Sun-Times*,2014-10-28,823.0,3.9,49.0,39.0,Illinois,2014,Senate
CBS News/NYT/YouGov,2014-10-23,3519.0,3.0,52.0,36.0,Illinois,2014,Senate
Chicago Tribune*,2014-10-21,800.0,3.5,50.0,37.0,Illinois,2014,Senate
The Simon Poll/SIU*,2014-10-15,691.0,3.7,47.0,41.0,Illinois,2014,Senate
rcp_average,2014-11-02,,,49.8,39.0,Illinois,2014,Senate
Chicago Sun-Times*,2014-10-28,823.0,3.9,49.0,36.0,Illinois,2014,Senate
CBS News/NYT/YouGov,2014-10-23,3519.0,3.0,52.0,37.0,Illinois,2014,Senate
Chicago Tribune*,2014-10-21,800.0,3.5,50.0,39.0,Illinois,2014,Senate
The Simon Poll/SIU*,2014-10-15,691.0,3.7,47.0,37.0,Illinois,2014,Senate
CBS News/NYT/YouGov,2014-10-01,3955.0,2.0,51.0,32.0,Illinois,2014,Senate
Rasmussen Reports,2014-09-25,750.0,4.0,51.0,41.0,Illinois,2014,Senate
Chicago Tribune*,2014-09-12,,3.5,55.0,38.0,Illinois,2014,Senate
Sun-Times/WeAskAmerica*,2014-08-27,1054.0,3.0,48.0,43.0,Illinois,2014,Senate
CBS News/NYT/YouGov,2014-09-02,4363.0,3.0,50.0,37.0,Illinois,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,2.1,51.0,36.0,Illinois,2014,Senate
Rasmussen Reports,2014-04-10,750.0,4.0,51.0,,Illinois,2014,Senate
PPP (D),2014-11-25,,4.2,51.0,,Illinois,2014,Senate
rcp_average,,,,49.8,,Illinois,2014,Senate
rcp_average,2014-11-03,,,45.7,48.0,Iowa,2014,Senate
PPP (D)*,2014-11-03,1265.0,2.8,45.0,48.0,Iowa,2014,Senate
Quinnipiac,2014-11-02,778.0,3.5,47.0,47.0,Iowa,2014,Senate
Des Moines Register,2014-10-31,701.0,3.7,44.0,51.0,Iowa,2014,Senate
FOX News,2014-10-30,911.0,3.0,44.0,45.0,Iowa,2014,Senate
Rasmussen Reports,2014-10-30,990.0,3.0,47.0,48.0,Iowa,2014,Senate
CNN/Opinion Research,2014-10-30,647.0,4.0,47.0,49.0,Iowa,2014,Senate
YouGov,2014-10-31,1112.0,4.4,43.0,42.0,Iowa,2014,Senate
Reuters/Ipsos,2014-10-29,1129.0,3.3,45.0,45.0,Iowa,2014,Senate
Quinnipiac,2014-10-27,817.0,3.4,45.0,49.0,Iowa,2014,Senate
Loras College,2014-10-24,1121.0,2.9,45.0,44.0,Iowa,2014,Senate
NBC News/Marist,2014-10-22,772.0,3.5,46.0,49.0,Iowa,2014,Senate
CBS News/NYT/YouGov,2014-10-23,2322.0,3.0,44.0,44.0,Iowa,2014,Senate
Quinnipiac,2014-10-21,964.0,3.2,46.0,48.0,Iowa,2014,Senate
USA Today/Suffolk*,2014-10-14,500.0,4.4,43.0,47.0,Iowa,2014,Senate
Quinnipiac,2014-10-13,967.0,3.2,45.0,47.0,Iowa,2014,Senate
Rasmussen Reports,2014-10-10,957.0,3.0,45.0,48.0,Iowa,2014,Senate
Des Moines Register/Bloomberg,2014-10-08,1000.0,3.1,46.0,47.0,Iowa,2014,Senate
Loras College,2014-10-03,600.0,4.0,42.0,42.0,Iowa,2014,Senate
NBC News/Marist,2014-10-01,778.0,3.5,44.0,46.0,Iowa,2014,Senate
CBS News/NYT/YouGov,2014-10-01,2359.0,2.0,44.0,43.0,Iowa,2014,Senate
PPP (D),2014-09-28,1192.0,2.8,43.0,45.0,Iowa,2014,Senate
Des Moines Register*,2014-09-24,546.0,4.2,38.0,44.0,Iowa,2014,Senate
Rasmussen Reports,2014-09-18,750.0,4.0,43.0,43.0,Iowa,2014,Senate
FOX News,2014-09-16,600.0,4.0,41.0,41.0,Iowa,2014,Senate
Quinnipiac,2014-09-15,1167.0,2.9,44.0,50.0,Iowa,2014,Senate
CNN/Opinion Research,2014-09-10,608.0,4.0,49.0,48.0,Iowa,2014,Senate
Loras College,2014-09-05,1200.0,2.8,45.0,41.0,Iowa,2014,Senate
USA Today/Suffolk*,2014-08-26,500.0,4.4,40.0,40.0,Iowa,2014,Senate
CBS News/NYT/YouGov,2014-09-02,1764.0,3.0,44.0,42.0,Iowa,2014,Senate
PPP (D),2014-08-24,915.0,3.2,42.0,42.0,Iowa,2014,Senate
Rasmussen Reports,2014-08-12,750.0,4.0,43.0,43.0,Iowa,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,2.7,47.0,48.0,Iowa,2014,Senate
NBC News/Marist,2014-07-13,,2.5,43.0,43.0,Iowa,2014,Senate
Quinnipiac,2014-06-16,,2.7,44.0,40.0,Iowa,2014,Senate
Loras College,2014-06-05,600.0,4.0,42.0,48.0,Iowa,2014,Senate
Rasmussen Reports,2014-06-05,750.0,4.0,44.0,45.0,Iowa,2014,Senate
PPP (D),2014-05-19,,3.3,45.0,39.0,Iowa,2014,Senate
CEA/Hickman Analytics (D),2014-04-30,500.0,4.4,44.0,40.0,Iowa,2014,Senate
Suffolk,2014-04-08,800.0,3.5,38.0,30.0,Iowa,2014,Senate
Rasmussen Reports,2014-03-25,750.0,4.0,40.0,37.0,Iowa,2014,Senate
Quinnipiac,2014-03-10,,2.6,42.0,29.0,Iowa,2014,Senate
PPP (D),2014-02-23,,3.3,41.0,35.0,Iowa,2014,Senate
Quinnipiac,2014-12-15,,,44.0,38.0,Iowa,2014,Senate
Harper (R),2014-11-24,985.0,3.1,42.0,36.0,Iowa,2014,Senate
PPP (D),2014-07-07,,3.8,45.0,33.0,Iowa,2014,Senate
rcp_average,,,,45.7,48.0,Iowa,2014,Senate
rcp_average,2014-11-01,,,41.8,49.0,Kentucky,2014,Senate
NBC News/Marist*,2014-10-30,556.0,4.2,41.0,50.0,Kentucky,2014,Senate
PPP (D)*,2014-11-01,1503.0,2.5,42.0,50.0,Kentucky,2014,Senate
Courier-Journal/SurveyUSA*,2014-10-29,597.0,4.1,43.0,48.0,Kentucky,2014,Senate
CBS News/NYT/YouGov*,2014-10-23,1502.0,4.0,39.0,45.0,Kentucky,2014,Senate
Rasmussen Reports,2014-10-16,1000.0,3.0,44.0,52.0,Kentucky,2014,Senate
Courier-Journal/SurveyUSA*,2014-10-19,655.0,3.9,43.0,44.0,Kentucky,2014,Senate
Western Kentucky Univ.*,2014-10-19,,4.1,42.0,45.0,Kentucky,2014,Senate
FOX News*,2014-10-07,706.0,3.5,41.0,45.0,Kentucky,2014,Senate
Courier-Journal/SurveyUSA*,2014-10-02,632.0,4.0,46.0,44.0,Kentucky,2014,Senate
CBS News/NYT/YouGov*,2014-10-01,1689.0,3.0,41.0,47.0,Kentucky,2014,Senate
Reuters/Ipsos,2014-09-12,944.0,3.6,42.0,46.0,Kentucky,2014,Senate
NBC News/Marist*,2014-09-04,691.0,3.7,39.0,47.0,Kentucky,2014,Senate
Rasmussen Reports,2014-09-02,750.0,4.0,41.0,46.0,Kentucky,2014,Senate
CNN/Opinion Research,2014-09-01,671.0,4.0,46.0,50.0,Kentucky,2014,Senate
CBS News/NYT/YouGov,2014-09-02,2130.0,3.0,42.0,47.0,Kentucky,2014,Senate
Courier-Journal/SurveyUSA*,2014-08-27,569.0,4.2,42.0,46.0,Kentucky,2014,Senate
PPP (D),2014-08-10,991.0,3.1,42.0,47.0,Kentucky,2014,Senate
Courier-Journal/SurveyUSA,2014-07-23,604.0,4.1,45.0,47.0,Kentucky,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,4.2,46.0,50.0,Kentucky,2014,Senate
Magellan Strategies (R),2014-06-05,808.0,3.5,49.0,46.0,Kentucky,2014,Senate
Rasmussen Reports,2014-05-29,750.0,4.0,41.0,48.0,Kentucky,2014,Senate
Wenzel Strategies (R),2014-05-24,608.0,4.0,44.0,47.0,Kentucky,2014,Senate
Courier-Journal/SurveyUSA*,2014-05-16,1475.0,2.6,43.0,42.0,Kentucky,2014,Senate
NBC News/Marist,2014-05-06,,2.0,45.0,46.0,Kentucky,2014,Senate
CEA/Hickman Analytics (D),2014-04-30,500.0,4.4,45.0,46.0,Kentucky,2014,Senate
NY Times/Kaiser,2014-04-15,,4.0,43.0,44.0,Kentucky,2014,Senate
Wenzel Strategies (R),2014-02-11,1002.0,3.1,42.0,43.0,Kentucky,2014,Senate
Courier-Journal/SurveyUSA,2014-02-03,,3.0,46.0,42.0,Kentucky,2014,Senate
Rasmussen Reports,2014-01-30,500.0,4.5,42.0,42.0,Kentucky,2014,Senate
PPP (D),2014-12-15,,2.5,42.0,43.0,Kentucky,2014,Senate
Wenzel Strategies (R),2014-07-24,624.0,3.9,40.0,48.0,Kentucky,2014,Senate
Wenzel Strategies (R),2014-06-02,623.0,3.9,40.0,47.0,Kentucky,2014,Senate
PPP (D),2014-04-07,,3.0,41.0,45.0,Kentucky,2014,Senate
PPP (D),2014-12-09,,2.8,40.0,47.0,Kentucky,2014,Senate
rcp_average,,,,41.8,49.0,Kentucky,2014,Senate
rcp_average,2014-11-02,,,32.2,61.4,Maine,2014,Senate
MPRC (D),2014-11-02,906.0,3.3,37.0,57.0,Maine,2014,Senate
Bangor Daily News/Ipsos,2014-10-29,488.0,5.1,32.0,64.0,Maine,2014,Senate
CBS News/NYT/YouGov,2014-10-23,1177.0,5.0,35.0,54.0,Maine,2014,Senate
Pan Atlantic SMS,2014-10-21,400.0,4.9,27.0,67.0,Maine,2014,Senate
Portland Press Herald,2014-10-21,667.0,3.8,30.0,65.0,Maine,2014,Senate
Bangor Daily News/Ipsos*,2014-10-12,540.0,4.8,31.0,56.0,Maine,2014,Senate
Pan Atlantic SMS,2014-09-29,400.0,4.9,25.0,68.0,Maine,2014,Senate
CBS News/NYT/YouGov,2014-10-01,1531.0,3.0,33.0,57.0,Maine,2014,Senate
Portland Press Herald,2014-09-25,482.0,4.4,29.0,59.0,Maine,2014,Senate
Rasmussen Reports,2014-09-04,750.0,4.0,31.0,59.0,Maine,2014,Senate
CBS News/NYT/YouGov,2014-09-02,1202.0,4.0,26.0,58.0,Maine,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,2.7,29.0,65.0,Maine,2014,Senate
Portland Press Herald,2014-06-18,527.0,4.3,17.0,72.0,Maine,2014,Senate
Rasmussen Reports,2014-04-25,830.0,3.0,24.0,60.0,Maine,2014,Senate
PPP (D),2014-11-11,,3.2,20.0,59.0,Maine,2014,Senate
rcp_average,,,,32.2,61.4,Maine,2014,Senate
rcp_average,2014-11-01,,,53.0,35.0,Massachusetts,2014,Senate
PPP (D),2014-11-01,887.0,3.3,52.0,38.0,Massachusetts,2014,Senate
Suffolk/Boston Herald,2014-10-29,500.0,4.4,49.0,34.0,Massachusetts,2014,Senate
Western NE University,2014-10-30,430.0,5.0,54.0,34.0,Massachusetts,2014,Senate
WBUR/MassINC,2014-10-25,494.0,4.4,57.0,32.0,Massachusetts,2014,Senate
UMass Amherst/WBZ,2014-10-27,591.0,4.5,53.0,37.0,Massachusetts,2014,Senate
CBS News/NYT/YouGov,2014-10-23,2218.0,3.0,54.0,32.0,Massachusetts,2014,Senate
WBUR/MassINC,2014-10-04,504.0,4.4,56.0,30.0,Massachusetts,2014,Senate
CBS News/NYT/YouGov,2014-10-01,2389.0,2.0,54.0,31.0,Massachusetts,2014,Senate
Suffolk/Boston Herald,2014-09-28,500.0,4.4,54.0,30.0,Massachusetts,2014,Senate
Western NE University,2014-09-28,416.0,5.0,56.0,34.0,Massachusetts,2014,Senate
WBUR/MassINC,2014-09-21,502.0,4.4,58.0,30.0,Massachusetts,2014,Senate
Rasmussen Reports,2014-09-17,750.0,4.0,49.0,31.0,Massachusetts,2014,Senate
Boston Globe,2014-09-16,407.0,4.9,53.0,27.0,Massachusetts,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,4.9,61.0,34.0,Massachusetts,2014,Senate
rcp_average,,,,53.0,35.0,Massachusetts,2014,Senate
rcp_average,2014-11-02,,,50.4,37.6,Michigan,2014,Senate
FOX 2 Detroit/Mitchell*,2014-11-02,1224.0,2.8,52.0,40.0,Michigan,2014,Senate
PPP (D)*,2014-11-02,914.0,3.2,51.0,38.0,Michigan,2014,Senate
EPIC-MRA,2014-10-28,600.0,4.0,50.0,35.0,Michigan,2014,Senate
Detroit News*,2014-10-24,600.0,4.0,48.0,33.0,Michigan,2014,Senate
Rasmussen Reports,2014-10-22,1000.0,3.0,51.0,42.0,Michigan,2014,Senate
FOX 2 Detroit/Mitchell*,2014-10-27,1159.0,2.9,52.0,38.0,Michigan,2014,Senate
CBS News/NYT/YouGov,2014-10-23,2394.0,3.0,49.0,41.0,Michigan,2014,Senate
EPIC-MRA,2014-10-19,600.0,4.0,45.0,34.0,Michigan,2014,Senate
FOX 2 Detroit/Mitchell*,2014-10-19,919.0,3.2,51.0,38.0,Michigan,2014,Senate
FOX 2 Detroit/Mitchell*,2014-10-12,1340.0,2.7,50.0,39.0,Michigan,2014,Senate
FOX 2 Detroit/Mitchell*,2014-10-09,1306.0,2.7,48.0,43.0,Michigan,2014,Senate
Detroit News*,2014-10-04,600.0,4.0,44.0,35.0,Michigan,2014,Senate
MRG (R),2014-10-01,600.0,4.0,47.0,36.0,Michigan,2014,Senate
FOX 2 Detroit/Mitchell*,2014-09-29,1178.0,2.9,49.0,36.0,Michigan,2014,Senate
