										
										
										
pollster	date	sampleSiz	dvalue	rvalue	finalD	finalR	year	winner	type	
CNN	10/4 - 10/7	739 LV	54	41	53.3	44.9	2018	D	congressional	
Emerson	10/1 - 10/4	1000 RV	50	42	53.3	44.9	2018	D	congressional	
Rasmussen Reports	9/30 - 10/4	2500 LV	45	45	53.3	44.9	2018	D	congressional	
Economist/YouGov	9/30 - 10/2	1227 RV	45	40	53.3	44.9	2018	D	congressional	
NPR/PBS/Marist	10/1 - 10/1	996 RV	48	42	53.3	44.9	2018	D	congressional	
IBD/TIPP	9/27 - 10/3	846 RV	45	43	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	9/26 - 10/2	1840 LV	50	38	53.3	44.9	2018	D	congressional	
Harvard-Harris	9/29 - 9/30	1330 RV	45	37	53.3	44.9	2018	D	congressional	
Quinnipiac	9/27 - 9/30	1111 RV	49	42	53.3	44.9	2018	D	congressional	
Rasmussen Reports	9/23 - 9/27	2500 LV	47	42	53.3	44.9	2018	D	congressional	
Harvard-Harris	9/26 - 9/27	1228 RV	45	36	53.3	44.9	2018	D	congressional	
Economist/YouGov	9/23 - 9/25	1238 RV	46	38	53.3	44.9	2018	D	congressional	
NPR/PBS/Marist	9/22 - 9/24	802 RV	48	41	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	9/19 - 9/25	1425 LV	48	41	53.3	44.9	2018	D	congressional	
Pew Research	9/18 - 9/24	1439 RV	52	42	53.3	44.9	2018	D	congressional	
Gallup	9/17 - 9/23	1308 RV	51	42	53.3	44.9	2018	D	congressional	
Rasmussen Reports	9/16 - 9/20	2500 LV	46	43	53.3	44.9	2018	D	congressional	
FOX News	9/16 - 9/19	818 LV	49	42	53.3	44.9	2018	D	congressional	
NBC News/Wall St. Jrnl	9/16 - 9/19	594 LV	51	43	53.3	44.9	2018	D	congressional	
Economist/YouGov	9/16 - 9/18	1195 RV	45	41	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	9/12 - 9/18	1304 LV	48	41	53.3	44.9	2018	D	congressional	
Rasmussen Reports	9/9 - 9/13	2500 LV	47	42	53.3	44.9	2018	D	congressional	
Economist/YouGov	9/9 - 9/11	1220 RV	44	41	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	9/5 - 9/11	1226 LV	49	41	53.3	44.9	2018	D	congressional	
Quinnipiac	9/6 - 9/9	1038 RV	52	38	53.3	44.9	2018	D	congressional	
CNN	9/6 - 9/9	775 LV	52	42	53.3	44.9	2018	D	congressional	
NPR/Marist	9/5 - 9/9	777 RV	50	38	53.3	44.9	2018	D	congressional	
Rasmussen Reports	9/2 - 9/6	2500 LV	46	42	53.3	44.9	2018	D	congressional	
Economist/YouGov	9/2 - 9/4	1254 RV	45	40	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	8/29 - 9/4	2012 RV	44	35	53.3	44.9	2018	D	congressional	
Grinnell/Selzer	8/29 - 9/2	779 LV	45	43	53.3	44.9	2018	D	congressional	
Emerson	8/29 - 8/31	1000 RV	52	39	53.3	44.9	2018	D	congressional	
Rasmussen Reports	8/26 - 8/30	2500 LV	46	42	53.3	44.9	2018	D	congressional	
ABC News/Wash Post	8/26 - 8/29	879 RV	52	38	53.3	44.9	2018	D	congressional	
Economist/YouGov	8/26 - 8/28	1249 RV	45	39	53.3	44.9	2018	D	congressional	
USA Today/Suffolk	8/23 - 8/28	1000 RV	50	39	53.3	44.9	2018	D	congressional	
IBD/TIPP	8/23 - 8/30	857 RV	50	39	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	8/22 - 8/28	2920 RV	47	34	53.3	44.9	2018	D	congressional	
Harvard-Harris	8/22 - 8/23	1330 RV	45	37	53.3	44.9	2018	D	congressional	
Rasmussen Reports	8/19 - 8/23	2500 LV	46	41	53.3	44.9	2018	D	congressional	
NBC News/Wall St. Jrnl	8/18 - 8/22	900 RV	50	42	53.3	44.9	2018	D	congressional	
Economist/YouGov	8/19 - 8/21	1247 RV	44	38	53.3	44.9	2018	D	congressional	
FOX News	8/19 - 8/21	1009 RV	49	38	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	8/15 - 8/21	1885 RV	41	37	53.3	44.9	2018	D	congressional	
Monmouth	8/15 - 8/19	725 RV	48	43	53.3	44.9	2018	D	congressional	
Rasmussen Reports	8/12 - 8/16	2500 LV	44	44	53.3	44.9	2018	D	congressional	
Economist/YouGov	8/12 - 8/14	1250 RV	44	40	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	8/8 - 8/14	1860 RV	45	36	53.3	44.9	2018	D	congressional	
Quinnipiac	8/9 - 8/13	1175 RV	51	42	53.3	44.9	2018	D	congressional	
CNN	8/9 - 8/12	921 RV	52	41	53.3	44.9	2018	D	congressional	
Pew Research	7/30 - 8/12	3986 RV	46	39	53.3	44.9	2018	D	congressional	
Rasmussen Reports	8/5 - 8/9	2500 LV	48	41	53.3	44.9	2018	D	congressional	
Economist/YouGov	8/5 - 8/7	1289 RV	44	41	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	8/3 - 8/7	1479 RV	41	39	53.3	44.9	2018	D	congressional	
Rasmussen Reports	7/29 - 8/2	2500 LV	45	41	53.3	44.9	2018	D	congressional	
IBD/TIPP	7/26 - 8/2	878 RV	45	45	53.3	44.9	2018	D	congressional	
Economist/YouGov	7/29 - 7/31	1222 RV	44	40	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	7/27 - 7/31	1571 RV	42	36	53.3	44.9	2018	D	congressional	
Rasmussen Reports	7/22 - 7/26	2500 LV	46	40	53.3	44.9	2018	D	congressional	
Harvard-Harris	7/24 - 7/25	1323 RV	43	36	53.3	44.9	2018	D	congressional	
Economist/YouGov	7/22 - 7/24	1203 RV	44	38	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	7/20 - 7/24	1165 RV	42	37	53.3	44.9	2018	D	congressional	
NPR/PBS/Marist	7/19 - 7/22	923 RV	47	40	53.3	44.9	2018	D	congressional	
Quinnipiac	7/18 - 7/23	1177 RV	51	39	53.3	44.9	2018	D	congressional	
Rasmussen Reports	7/15 - 7/19	2500 LV	47	40	53.3	44.9	2018	D	congressional	
NBC News/Wall St. Jrnl	7/15 - 7/18	900 RV	49	43	53.3	44.9	2018	D	congressional	
Economist/YouGov	7/15 - 7/17	1272 RV	45	37	53.3	44.9	2018	D	congressional	
Rasmussen Reports	7/8 - 7/12	2500 LV	46	41	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	7/13 - 7/17	2357 RV	44	35	53.3	44.9	2018	D	congressional	
FOX News	7/9 - 7/11	1007 RV	48	40	53.3	44.9	2018	D	congressional	
Economist/YouGov	7/8 - 7/10	1246 RV	42	38	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	7/6 - 7/10	1295 RV	47	34	53.3	44.9	2018	D	congressional	
Emerson	7/6 - 7/7	900 RV	49	42	53.3	44.9	2018	D	congressional	
Rasmussen Reports	7/1 - 7/5	2500 LV	48	40	53.3	44.9	2018	D	congressional	
Economist/YouGov	7/1 - 7/3	1263 RV	42	38	53.3	44.9	2018	D	congressional	
Rasmussen Reports	6/24 - 6/28	2500 LV	46	40	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	6/28 - 7/2	2252 RV	44	34	53.3	44.9	2018	D	congressional	
Quinnipiac	6/27 - 7/1	1020 RV	50	41	53.3	44.9	2018	D	congressional	
Harvard-Harris	6/24 - 6/25	1448 RV	45	36	53.3	44.9	2018	D	congressional	
IBD/TIPP	6/21 - 6/29	900 A	48	40	53.3	44.9	2018	D	congressional	
Economist/YouGov	6/24 - 6/26	1278 RV	43	38	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	6/22 - 6/26	1199 RV	41	38	53.3	44.9	2018	D	congressional	
Rasmussen Reports	6/17 - 6/21	2500 LV	45	41	53.3	44.9	2018	D	congressional	
Economist/YouGov	6/17 - 6/19	1272 RV	44	37	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	6/15 - 6/19	1604 RV	42	36	53.3	44.9	2018	D	congressional	
USA Today/Suffolk	6/13 - 6/18	1000 RV	45	39	53.3	44.9	2018	D	congressional	
Quinnipiac	6/14 - 6/17	905 RV	49	43	53.3	44.9	2018	D	congressional	
CNN	6/14 - 6/17	901 RV	50	42	53.3	44.9	2018	D	congressional	
Gallup	6/11 - 6/17	1346 RV	48	43	53.3	44.9	2018	D	congressional	
Monmouth	6/12 - 6/13	711 RV	48	41	53.3	44.9	2018	D	congressional	
Rasmussen Reports	6/10 - 6/14	2500 LV	45	41	53.3	44.9	2018	D	congressional	
Economist/YouGov	6/10 - 6/12	1308 RV	43	37	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	6/8 - 6/12	2018 RV	45	35	53.3	44.9	2018	D	congressional	
PPP (D)	6/8 - 6/10	679 RV	46	40	53.3	44.9	2018	D	congressional	
Pew Research	6/5 - 6/12	1608 RV	48	43	53.3	44.9	2018	D	congressional	
Rasmussen Reports	6/3 - 6/7	2500 LV	44	40	53.3	44.9	2018	D	congressional	
FOX News	6/3 - 6/6	1001 RV	48	39	53.3	44.9	2018	D	congressional	
Economist/YouGov	6/3 - 6/5	1292 RV	44	38	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	6/1 - 6/5	1265 RV	43	32	53.3	44.9	2018	D	congressional	
NBC News/Wall St. Jrnl	6/1 - 6/4	900 RV	50	40	53.3	44.9	2018	D	congressional	
Quinnipiac	5/31 - 6/5	1223 RV	47	40	53.3	44.9	2018	D	congressional	
IBD/TIPP	5/29 - 6/5	905 A	47	40	53.3	44.9	2018	D	congressional	
Rasmussen Reports	5/27 - 5/31	2500 LV	45	41	53.3	44.9	2018	D	congressional	
Economist/YouGov	5/27 - 5/29	1279 RV	42	39	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	5/25 - 5/29	1931 RV	39	37	53.3	44.9	2018	D	congressional	
Rasmussen Reports	5/21 - 5/25	2500 LV	43	42	53.3	44.9	2018	D	congressional	
Harvard-Harris	5/21 - 5/22	1347 RV	44	37	53.3	44.9	2018	D	congressional	
Economist/YouGov	5/20 - 5/22	1263 RV	43	38	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	5/18 - 5/22	1080 RV	40	37	53.3	44.9	2018	D	congressional	
Rasmussen Reports	5/13 - 5/17	2500 LV	43	42	53.3	44.9	2018	D	congressional	
Economist/YouGov	5/13 - 5/15	1231 RV	42	37	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	5/11 - 5/15	1290 RV	38	37	53.3	44.9	2018	D	congressional	
Rasmussen Reports	5/6 - 5/10	2500 LV	46	40	53.3	44.9	2018	D	congressional	
CNN	5/2 - 5/5	901 RV	47	44	53.3	44.9	2018	D	congressional	
Economist/YouGov	5/6 - 5/8	1232 RV	44	35	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	5/4 - 5/8	1171 RV	39	38	53.3	44.9	2018	D	congressional	
Economist/YouGov	4/29 - 5/1	1273 RV	42	39	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	4/27 - 5/1	1337 RV	43	37	53.3	44.9	2018	D	congressional	
Pew Research	4/25 - 5/1	1221 RV	48	43	53.3	44.9	2018	D	congressional	
Monmouth	4/26 - 4/30	681 RV	49	41	53.3	44.9	2018	D	congressional	
Harvard-Harris	4/22 - 4/24	1549 RV	43	34	53.3	44.9	2018	D	congressional	
Economist/YouGov	4/22 - 4/24	1270 RV	43	38	53.3	44.9	2018	D	congressional	
Quinnipiac	4/20 - 4/24	1193 RV	48	40	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	4/20 - 4/24	1248 RV	45	34	53.3	44.9	2018	D	congressional	
Economist/YouGov	4/15 - 4/17	1274 RV	43	38	53.3	44.9	2018	D	congressional	
NPR/PBS/Marist	4/10 - 4/13	827 RV	44	39	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	4/13 - 4/17	1238 RV	44	34	53.3	44.9	2018	D	congressional	
ABC News/Wash Post	4/8 - 4/11	865 RV	47	43	53.3	44.9	2018	D	congressional	
NBC News/Wall St. Jrnl	4/8 - 4/11	900 A	47	40	53.3	44.9	2018	D	congressional	
Economist/YouGov	4/8 - 4/10	1292 RV	44	36	53.3	44.9	2018	D	congressional	
Rasmussen Reports	4/8 - 4/9	1000 LV	45	40	53.3	44.9	2018	D	congressional	
Quinnipiac	4/6 - 4/9	1181 RV	46	43	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	4/6 - 4/10	1219 RV	44	34	53.3	44.9	2018	D	congressional	
Economist/YouGov	4/1 - 4/3	1246 RV	43	36	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	3/30 - 4/3	1519 RV	43	34	53.3	44.9	2018	D	congressional	
Harvard-Harris	3/27 - 3/29	1340 RV	45	34	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	3/23 - 3/27	1392 RV	42	35	53.3	44.9	2018	D	congressional	
Economist/YouGov	3/25 - 3/27	1330 RV	42	35	53.3	44.9	2018	D	congressional	
CNN	3/22 - 3/25	913 RV	50	44	53.3	44.9	2018	D	congressional	
PPP (D)	3/23 - 3/25	846 RV	50	39	53.3	44.9	2018	D	congressional	
Marist	3/19 - 3/21	1015 RV	44	39	53.3	44.9	2018	D	congressional	
FOX News	3/18 - 3/21	1014 RV	46	41	53.3	44.9	2018	D	congressional	
Economist/YouGov	3/18 - 3/20	1284 RV	44	38	53.3	44.9	2018	D	congressional	
Quinnipiac	3/16 - 3/20	1291 RV	49	43	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	3/16 - 3/20	1337 RV	40	37	53.3	44.9	2018	D	congressional	
NBC News/Wall St. Jrnl	3/10 - 3/14	930 RV	50	40	53.3	44.9	2018	D	congressional	
Economist/YouGov	3/10 - 3/13	1291 RV	43	38	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	3/9 - 3/13	1411 A	38	30	53.3	44.9	2018	D	congressional	
GWU/Battleground	3/4 - 3/8	1000 RV	49	40	53.3	44.9	2018	D	congressional	
Economist/YouGov	3/4 - 3/6	1310 RV	43	37	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	3/2 - 3/6	2927 A	38	31	53.3	44.9	2018	D	congressional	
Quinnipiac	3/3 - 3/5	1122 RV	48	38	53.3	44.9	2018	D	congressional	
Monmouth	3/2 - 3/5	708 RV	50	41	53.3	44.9	2018	D	congressional	
Rasmussen Reports	3/1 - 3/4	1000 LV	46	40	53.3	44.9	2018	D	congressional	
Economist/YouGov	2/25 - 2/27	1296 RV	40	38	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	2/23 - 2/27	1651 A	37	31	53.3	44.9	2018	D	congressional	
USA Today/Suffolk	2/20 - 2/24	1000 RV	47	32	53.3	44.9	2018	D	congressional	
CNN	2/20 - 2/23	909 RV	54	38	53.3	44.9	2018	D	congressional	
Marist	2/20 - 2/21	819 RV	46	39	53.3	44.9	2018	D	congressional	
Economist/YouGov	2/18 - 2/20	1308 RV	43	35	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	2/16 - 2/20	1104 A	38	30	53.3	44.9	2018	D	congressional	
Harvard-Harris	2/16 - 2/19	1934 RV	41	36	53.3	44.9	2018	D	congressional	
Quinnipiac	2/16 - 2/19	1249 RV	53	38	53.3	44.9	2018	D	congressional	
Economist/YouGov	2/11 - 2/13	1280 RV	42	38	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	2/9 - 2/13	1515 A	39	30	53.3	44.9	2018	D	congressional	
PPP (D)	2/9 - 2/11	687 RV	49	41	53.3	44.9	2018	D	congressional	
Marist	2/5 - 2/7	807 RV	49	38	53.3	44.9	2018	D	congressional	
Economist/YouGov	2/4 - 2/6	1320 RV	43	37	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	2/2 - 2/6	3110 A	38	31	53.3	44.9	2018	D	congressional	
Quinnipiac	2/2 - 2/5	1333 RV	49	40	53.3	44.9	2018	D	congressional	
IBD/TIPP	1/25 - 2/2	832 RV	46	41	53.3	44.9	2018	D	congressional	
Monmouth	1/28 - 1/30	711 RV	47	45	53.3	44.9	2018	D	congressional	
Economist/YouGov	1/28 - 1/30	1264 RV	42	37	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	1/26 - 1/30	1856 A	37	31	53.3	44.9	2018	D	congressional	
Rasmussen Reports	1/24 - 1/25	1000 LV	45	37	53.3	44.9	2018	D	congressional	
FOX News	1/21 - 1/23	1002 RV	44	38	53.3	44.9	2018	D	congressional	
Economist/YouGov	1/21 - 1/23	1301 RV	41	37	53.3	44.9	2018	D	congressional	
Quinnipiac	1/19 - 1/23	1245 RV	51	38	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	1/19 - 1/23	2981 A	38	30	53.3	44.9	2018	D	congressional	
ABC News/Wash Post	1/15 - 1/18	846 RV	51	39	53.3	44.9	2018	D	congressional	
CNN	1/14 - 1/18	RV	49	44	53.3	44.9	2018	D	congressional	
NBC News/Wall St. Jrnl	1/13 - 1/17	765 RV	49	43	53.3	44.9	2018	D	congressional	
Economist/YouGov	1/14 - 1/16	1311 RV	42	36	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	1/12 - 1/16	1638 A	37	32	53.3	44.9	2018	D	congressional	
Quinnipiac	1/12 - 1/16	1212 RV	50	39	53.3	44.9	2018	D	congressional	
Pew Research	1/10 - 1/15	1215 RV	53	39	53.3	44.9	2018	D	congressional	
NPR/PBS/Marist	1/8 - 1/10	1092 RV	46	40	53.3	44.9	2018	D	congressional	
Emerson	1/8 - 1/11	600 RV	45	40	53.3	44.9	2018	D	congressional	
Economist/YouGov	1/8 - 1/9	1327 RV	44	37	53.3	44.9	2018	D	congressional	
Quinnipiac	1/5 - 1/9	1106 RV	52	35	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	1/5 - 1/9	1616 A	40	31	53.3	44.9	2018	D	congressional	
Economist/YouGov	12/31 - 1/2	1277 RV	42	36	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	12/29 - 1/2	1770 A	38	31	53.3	44.9	2018	D	congressional	
Economist/YouGov	12/24 - 12/26	1004 RV	44	36	53.3	44.9	2018	D	congressional	
Economist/YouGov	12/17 - 12/19	1291 RV	44	35	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	12/15 - 12/19	2492 A	39	27	53.3	44.9	2018	D	congressional	
Quinnipiac	12/13 - 12/18	1230 RV	52	37	53.3	44.9	2018	D	congressional	
CNN	12/14 - 12/17	898 RV	56	38	53.3	44.9	2018	D	congressional	
NBC News/Wall St. Jrnl	12/13 - 12/15	736 RV	50	39	53.3	44.9	2018	D	congressional	
PPP (D)	12/11 - 12/12	862 RV	51	40	53.3	44.9	2018	D	congressional	
Economist/YouGov	12/10 - 12/12	1338 RV	44	36	53.3	44.9	2018	D	congressional	
Monmouth	12/10 - 12/12	702 RV	51	36	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	12/8 - 12/12	1457 A	37	29	53.3	44.9	2018	D	congressional	
Quinnipiac	12/6 - 12/11	1211 RV	49	37	53.3	44.9	2018	D	congressional	
Marist	12/4 - 12/7	1079 RV	50	37	53.3	44.9	2018	D	congressional	
Economist/YouGov	12/3 - 12/5	1341 RV	42	36	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	12/1 - 12/5	1548 A	37	31	53.3	44.9	2018	D	congressional	
Quinnipiac	11/29 - 12/4	1508 RV	50	36	53.3	44.9	2018	D	congressional	
Economist/YouGov	11/26 - 11/28	1319 RV	41	35	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	11/24 - 11/28	1969 A	36	30	53.3	44.9	2018	D	congressional	
Economist/YouGov	11/19 - 11/21	1344 RV	42	33	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	11/17 - 11/22	1489 A	37	28	53.3	44.9	2018	D	congressional	
NPR/PBS/Marist	11/13 - 11/15	802 RV	43	40	53.3	44.9	2018	D	congressional	
Economist/YouGov	11/12 - 11/14	1281 RV	42	34	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	11/10 - 11/14	1520 A	38	31	53.3	44.9	2018	D	congressional	
Quinnipiac	11/7 - 11/13	1577 RV	51	38	53.3	44.9	2018	D	congressional	
Marist	11/6 - 11/9	850 RV	51	36	53.3	44.9	2018	D	congressional	
Economist/YouGov	11/5 - 11/7	1336 RV	40	33	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	11/3 - 11/7	1572 A	38	30	53.3	44.9	2018	D	congressional	
ABC News/Wash Post	10/29 - 11/1	884 RV	51	40	53.3	44.9	2018	D	congressional	
Economist/YouGov	10/29 - 10/31	1291 RV	39	36	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	10/27 - 10/31	1798 A	40	31	53.3	44.9	2018	D	congressional	
PPP (D)	10/27 - 10/29	572 RV	50	40	53.3	44.9	2018	D	congressional	
NBC News/Wall St. Jrnl	10/23 - 10/26	753 RV	48	41	53.3	44.9	2018	D	congressional	
Economist/YouGov	10/22 - 10/24	1312 RV	40	33	53.3	44.9	2018	D	congressional	
FOX News	10/22 - 10/24	1005 RV	50	35	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	10/20 - 10/24	2352 A	36	28	53.3	44.9	2018	D	congressional	
Economist/YouGov	10/15 - 10/16	1326 RV	41	33	53.3	44.9	2018	D	congressional	
CNN	10/12 - 10/15	RV	54	38	53.3	44.9	2018	D	congressional	
Economist/YouGov	10/7 - 10/10	1278 RV	40	33	53.3	44.9	2018	D	congressional	
Quinnipiac	10/5 - 10/10	1482 RV	49	41	53.3	44.9	2018	D	congressional	
Economist/YouGov	10/1 - 10/3	1298 RV	39	32	53.3	44.9	2018	D	congressional	
Economist/YouGov	9/24 - 9/26	1254 RV	40	34	53.3	44.9	2018	D	congressional	
Quinnipiac	9/21 - 9/26	1412 RV	47	38	53.3	44.9	2018	D	congressional	
PPP (D)	9/22 - 9/25	865 RV	48	37	53.3	44.9	2018	D	congressional	
Economist/YouGov	9/17 - 9/19	1292 RV	39	33	53.3	44.9	2018	D	congressional	
NBC News/Wall St. Jrnl	9/14 - 9/18	751 RV	48	42	53.3	44.9	2018	D	congressional	
Economist/YouGov	9/10 - 9/12	1313 RV	40	31	53.3	44.9	2018	D	congressional	
Economist/YouGov	9/3 - 9/5	1309 RV	39	33	53.3	44.9	2018	D	congressional	
Economist/YouGov	8/27 - 8/29	1278 RV	40	32	53.3	44.9	2018	D	congressional	
Economist/YouGov	8/20 - 8/22	1327 RV	39	33	53.3	44.9	2018	D	congressional	
Quinnipiac	8/17 - 8/22	1514 RV	50	38	53.3	44.9	2018	D	congressional	
PPP (D)	8/18 - 8/21	887 RV	49	35	53.3	44.9	2018	D	congressional	
GWU/Battleground	8/13 - 8/17	1000 RV	45	38	53.3	44.9	2018	D	congressional	
Economist/YouGov	8/13 - 8/15	1291 RV	41	33	53.3	44.9	2018	D	congressional	
Quinnipiac	8/9 - 8/15	1361 RV	50	40	53.3	44.9	2018	D	congressional	
Marist	8/8 - 8/12	883 RV	47	40	53.3	44.9	2018	D	congressional	
Economist/YouGov	8/6 - 8/8	1303 RV	39	34	53.3	44.9	2018	D	congressional	
CNN	8/3 - 8/6	RV	51	42	53.3	44.9	2018	D	congressional	
Economist/YouGov	7/31 - 8/1	1329 RV	39	34	53.3	44.9	2018	D	congressional	
Quinnipiac	7/27 - 8/1	1125 RV	52	38	53.3	44.9	2018	D	congressional	
Economist/YouGov	7/23 - 7/25	1282 RV	40	34	53.3	44.9	2018	D	congressional	
Economist/YouGov	7/15 - 7/18	1273 RV	40	34	53.3	44.9	2018	D	congressional	
ABC News/Wash Post	7/10 - 7/13	RV	52	38	53.3	44.9	2018	D	congressional	
Economist/YouGov	7/9 - 7/11	1284 RV	39	32	53.3	44.9	2018	D	congressional	
Economist/YouGov	7/3 - 7/4	1323 RV	37	35	53.3	44.9	2018	D	congressional	
FOX News	6/25 - 6/27	1017 RV	47	41	53.3	44.9	2018	D	congressional	
Economist/YouGov	6/25 - 6/27	1295 RV	41	35	53.3	44.9	2018	D	congressional	
Quinnipiac	6/22 - 6/27	1212 RV	51	41	53.3	44.9	2018	D	congressional	
NPR/PBS/Marist	6/21 - 6/25	995 RV	48	38	53.3	44.9	2018	D	congressional	
Economist/YouGov	6/18 - 6/20	1277 RV	38	35	53.3	44.9	2018	D	congressional	
NBC News/Wall St. Jrnl	6/17 - 6/20	765 RV	50	42	53.3	44.9	2018	D	congressional	
Economist/YouGov	6/11 - 6/13	1310 RV	38	36	53.3	44.9	2018	D	congressional	
PPP (D)	6/9 - 6/11	811 RV	50	40	53.3	44.9	2018	D	congressional	
Economist/YouGov	6/4 - 6/6	1288 RV	41	37	53.3	44.9	2018	D	congressional	
Quinnipiac	5/31 - 6/6	1361 RV	51	39	53.3	44.9	2018	D	congressional	
Economist/YouGov	5/27 - 5/30	1269 RV	39	33	53.3	44.9	2018	D	congressional	
Quinnipiac	5/4 - 5/9	1078 RV	54	38	53.3	44.9	2018	D	congressional	
Economist/YouGov	5/20 - 5/23	1276 RV	38	36	53.3	44.9	2018	D	congressional	
Economist/YouGov	5/13 - 5/16	1298 RV	40	33	53.3	44.9	2018	D	congressional	
PPP (D)	5/12 - 5/14	692 RV	49	38	53.3	44.9	2018	D	congressional	
Economist/YouGov	5/6 - 5/9	1287 RV	40	35	53.3	44.9	2018	D	congressional	
