pollster,date,sampleSize,marginError,dvalue,rvalue,state,Year,Type
rcp_average,2014-11-02,,,45.3,44.8,Colorado,2014,Governor
PPP (D)*,2014-11-02,739.0,3.6,46.0,46.0,Colorado,2014,Governor
Quinnipiac*,2014-11-02,815.0,3.4,43.0,45.0,Colorado,2014,Governor
Denver Post/SurveyUSA*,2014-10-29,618.0,4.0,46.0,46.0,Colorado,2014,Governor
YouGov,2014-10-31,1417.0,3.3,44.0,42.0,Colorado,2014,Governor
Rasmussen Reports,2014-10-23,966.0,3.0,47.0,49.0,Colorado,2014,Governor
NBC News/Marist*,2014-10-22,755.0,3.6,46.0,41.0,Colorado,2014,Governor
Quinnipiac*,2014-10-27,844.0,3.4,40.0,45.0,Colorado,2014,Governor
CBS News/NYT/YouGov,2014-10-23,1611.0,4.0,48.0,44.0,Colorado,2014,Governor
USA Today/Suffolk*,2014-10-21,500.0,4.4,43.0,45.0,Colorado,2014,Governor
PPP (D),2014-10-19,778.0,3.5,46.0,46.0,Colorado,2014,Governor
Quinnipiac*,2014-10-21,974.0,3.1,45.0,44.0,Colorado,2014,Governor
Reuters/Ipsos,2014-10-20,1099.0,3.4,46.0,46.0,Colorado,2014,Governor
CNN/Opinion Research,2014-10-13,665.0,4.0,49.0,48.0,Colorado,2014,Governor
Denver Post/SurveyUSA*,2014-10-12,591.0,4.1,45.0,44.0,Colorado,2014,Governor
Quinnipiac*,2014-10-13,988.0,3.1,42.0,46.0,Colorado,2014,Governor
High Point/SurveyUSA,2014-10-08,800.0,3.5,44.0,46.0,Colorado,2014,Governor
FOX News,2014-10-07,739.0,3.5,42.0,42.0,Colorado,2014,Governor
CBS News/NYT/YouGov,2014-10-01,1634.0,3.0,49.0,45.0,Colorado,2014,Governor
Rasmussen Reports,2014-09-30,950.0,3.0,50.0,46.0,Colorado,2014,Governor
USA Today/Suffolk*,2014-09-16,500.0,4.4,43.0,41.0,Colorado,2014,Governor
Quinnipiac*,2014-09-15,1211.0,2.8,40.0,50.0,Colorado,2014,Governor
Denver Post/SurveyUSA*,2014-09-10,664.0,3.9,45.0,43.0,Colorado,2014,Governor
Rasmussen Reports,2014-09-04,800.0,3.5,44.0,45.0,Colorado,2014,Governor
NBC News/Marist*,2014-09-04,795.0,3.5,43.0,39.0,Colorado,2014,Governor
CBS News/NYT/YouGov,2014-09-02,1727.0,4.0,45.0,45.0,Colorado,2014,Governor
CBS News/NYT/YouGov,2014-07-24,,,47.0,47.0,Colorado,2014,Governor
PPP (D),2014-07-20,,3.8,44.0,43.0,Colorado,2014,Governor
Quinnipiac,2014-07-14,,2.9,43.0,44.0,Colorado,2014,Governor
NBC News/Marist,2014-07-10,,3.2,49.0,43.0,Colorado,2014,Governor
Rasmussen Reports,2014-06-26,750.0,4.0,44.0,44.0,Colorado,2014,Governor
Quinnipiac,2014-04-21,,2.7,48.0,39.0,Colorado,2014,Governor
Magellan Strategies (R),2014-04-15,717.0,3.7,50.0,35.0,Colorado,2014,Governor
PPP (D),2014-03-16,,4.1,48.0,38.0,Colorado,2014,Governor
rcp_average,,,,45.3,44.8,Colorado,2014,Governor
rcp_average,2014-11-02,,,42.3,41.0,Connecticut,2014,Governor
Quinnipiac,2014-11-02,926.0,3.2,43.0,42.0,Connecticut,2014,Governor
PPP (D),2014-11-01,931.0,3.2,44.0,41.0,Connecticut,2014,Governor
CBS News/NYT/YouGov,2014-10-23,,4.0,40.0,40.0,Connecticut,2014,Governor
Quinnipiac,2014-10-27,838.0,3.4,43.0,43.0,Connecticut,2014,Governor
Quinnipiac,2014-10-20,1010.0,3.1,43.0,42.0,Connecticut,2014,Governor
Quinnipiac,2014-10-06,1085.0,3.0,43.0,43.0,Connecticut,2014,Governor
PPP (D),2014-10-05,861.0,3.3,43.0,35.0,Connecticut,2014,Governor
CBS News/NYT/YouGov,2014-10-01,1284.0,3.0,41.0,41.0,Connecticut,2014,Governor
Quinnipiac,2014-09-08,1304.0,2.7,40.0,46.0,Connecticut,2014,Governor
rcp_average,,,,42.3,41.0,Connecticut,2014,Governor
rcp_average,2014-11-02,,,40.7,40.3,Florida,2014,Governor
Quinnipiac,2014-11-02,817.0,3.4,42.0,41.0,Florida,2014,Governor
PPP (D),2014-11-02,1198.0,2.8,44.0,44.0,Florida,2014,Governor
TB Times/Bay News 9/News 13/UF,2014-10-28,850.0,3.1,36.0,36.0,Florida,2014,Governor
Quinnipiac,2014-10-27,817.0,3.4,43.0,40.0,Florida,2014,Governor
Quinnipiac,2014-10-20,984.0,3.1,42.0,42.0,Florida,2014,Governor
SurveyUSA,2014-10-13,566.0,4.2,45.0,41.0,Florida,2014,Governor
CNN/Opinion Research,2014-10-13,610.0,4.0,44.0,44.0,Florida,2014,Governor
TB Times/Bay News 9/News 13/UF,2014-10-12,781.0,3.2,40.0,40.0,Florida,2014,Governor
SurveyUSA,2014-10-06,594.0,4.1,44.0,42.0,Florida,2014,Governor
UNF,2014-10-08,471.0,4.7,43.0,38.0,Florida,2014,Governor
SurveyUSA,2014-09-29,584.0,4.1,46.0,40.0,Florida,2014,Governor
SurveyUSA,2014-09-22,588.0,4.1,42.0,43.0,Florida,2014,Governor
Quinnipiac,2014-09-22,991.0,3.1,42.0,44.0,Florida,2014,Governor
SurveyUSA,2014-09-15,571.0,4.2,39.0,44.0,Florida,2014,Governor
SurveyUSA,2014-09-08,576.0,4.2,44.0,45.0,Florida,2014,Governor
PPP (D),2014-09-07,818.0,3.4,42.0,39.0,Florida,2014,Governor
Mason-Dixon,2014-09-04,625.0,4.0,41.0,43.0,Florida,2014,Governor
TB Times/Bay News 9/News 13/UF,2014-08-31,814.0,3.4,36.0,41.0,Florida,2014,Governor
SurveyUSA,2014-08-28,580.0,4.2,45.0,43.0,Florida,2014,Governor
SurveyUSA,2014-08-18,564.0,4.2,41.0,44.0,Florida,2014,Governor
Quinnipiac,2014-07-21,,2.8,39.0,37.0,Florida,2014,Governor
Mason-Dixon,2014-04-22,700.0,3.8,42.0,42.0,Florida,2014,Governor
rcp_average,2014-11-03,,,43.4,48.0,Georgia,2014,Governor
WSB-TV/Landmark,2014-11-02,1500.0,2.5,45.0,51.0,Georgia,2014,Governor
PPP (D),2014-11-03,975.0,3.1,43.0,47.0,Georgia,2014,Governor
SurveyUSA,2014-11-02,591.0,4.1,42.0,47.0,Georgia,2014,Governor
InsiderAdvantage,2014-11-02,1463.0,2.6,44.0,47.0,Georgia,2014,Governor
NBC News/Marist,2014-10-30,603.0,4.0,43.0,48.0,Georgia,2014,Governor
WSB-TV/Landmark,2014-10-29,1500.0,2.5,46.0,48.0,Georgia,2014,Governor
YouGov,2014-10-31,1743.0,3.2,41.0,45.0,Georgia,2014,Governor
SurveyUSA,2014-10-27,611.0,4.0,44.0,46.0,Georgia,2014,Governor
Atlanta Journal-Constitution,2014-10-23,1170.0,3.6,41.0,46.0,Georgia,2014,Governor
CBS News/NYT/YouGov,2014-10-23,1774.0,4.0,43.0,47.0,Georgia,2014,Governor
InsiderAdvantage,2014-10-22,704.0,3.7,44.0,44.0,Georgia,2014,Governor
WSB-TV/Landmark,2014-10-21,1000.0,2.8,45.0,48.0,Georgia,2014,Governor
CNN/Opinion Research,2014-10-22,565.0,4.0,48.0,46.0,Georgia,2014,Governor
SurveyUSA,2014-10-20,606.0,4.1,43.0,45.0,Georgia,2014,Governor
WRBL/Ledger-Enquirer/PMB,2014-10-14,1543.0,2.5,44.0,44.0,Georgia,2014,Governor
SurveyUSA,2014-10-13,563.0,4.2,46.0,46.0,Georgia,2014,Governor
WSB-TV/Landmark,2014-10-09,1000.0,3.1,45.0,45.0,Georgia,2014,Governor
SurveyUSA,2014-10-06,566.0,4.2,44.0,46.0,Georgia,2014,Governor
PPP (D),2014-10-05,895.0,3.3,41.0,46.0,Georgia,2014,Governor
InsiderAdvantage,2014-10-01,947.0,3.2,43.0,44.0,Georgia,2014,Governor
CBS News/NYT/YouGov,2014-10-01,1851.0,3.0,43.0,48.0,Georgia,2014,Governor
SurveyUSA,2014-09-22,550.0,4.3,45.0,44.0,Georgia,2014,Governor
InsiderAdvantage,2014-09-11,1167.0,2.9,40.0,44.0,Georgia,2014,Governor
WSB-TV/Landmark,2014-09-11,1109.0,2.9,47.0,44.0,Georgia,2014,Governor
Atlanta Journal-Constitution,2014-09-11,884.0,4.0,42.0,43.0,Georgia,2014,Governor
SurveyUSA,2014-09-08,558.0,4.2,44.0,45.0,Georgia,2014,Governor
CBS News/NYT/YouGov,2014-09-02,1900.0,3.0,39.0,47.0,Georgia,2014,Governor
WRBL/Ledger-Enquirer/PMB,2014-08-25,1578.0,2.5,42.0,44.0,Georgia,2014,Governor
WSB-TV/Landmark,2014-08-21,600.0,4.0,44.0,40.0,Georgia,2014,Governor
SurveyUSA,2014-08-17,560.0,4.2,39.0,48.0,Georgia,2014,Governor
InsiderAdvantage,2014-08-13,719.0,3.7,39.0,43.0,Georgia,2014,Governor
WSB-TV/Landmark,2014-07-25,750.0,3.8,47.0,40.0,Georgia,2014,Governor
WSB-TV/Landmark,2014-07-15,750.0,4.0,49.0,41.0,Georgia,2014,Governor
InsiderAdvantage,2014-06-25,1349.0,2.7,40.0,47.0,Georgia,2014,Governor
SurveyUSA,2014-06-05,999.0,3.2,38.0,44.0,Georgia,2014,Governor
SurveyUSA,2014-05-12,1380.0,2.7,37.0,43.0,Georgia,2014,Governor
Saint Leo University,2014-05-06,1000.0,3.0,35.0,38.0,Georgia,2014,Governor
SurveyUSA,2014-04-27,1567.0,2.5,37.0,41.0,Georgia,2014,Governor
rcp_average,2014-10-23,,,45.3,32.5,Hawaii,2014,Governor
Honolulu Civil Beat/MRG*,2014-10-19,1221.0,2.8,40.0,34.0,Hawaii,2014,Governor
CBS News/NYT/YouGov,2014-10-23,1002.0,6.0,54.0,22.0,Hawaii,2014,Governor
Honolulu Star-Advertiser,2014-10-18,605.0,4.0,47.0,35.0,Hawaii,2014,Governor
Rasmussen Reports,2014-09-10,750.0,4.0,40.0,39.0,Hawaii,2014,Governor
CBS News/NYT/YouGov,2014-10-01,1319.0,4.0,41.0,35.0,Hawaii,2014,Governor
Honolulu Civil Beat/MRG*,2014-09-14,1055.0,3.0,43.0,39.0,Hawaii,2014,Governor
CBS News/NYT/YouGov,2014-09-02,655.0,6.0,37.0,35.0,Hawaii,2014,Governor
Honolulu Star-Advertiser,2014-07-29,612.0,4.0,34.0,41.0,Hawaii,2014,Governor
Honolulu Civil Beat/MRG,2014-06-09,,3.0,31.0,31.0,Hawaii,2014,Governor
rcp_average,,,,45.3,32.5,Hawaii,2014,Governor
rcp_average,2014-11-01,,,36.0,50.7,Idaho,2014,Governor
PPP (D)*,2014-11-01,1001.0,3.1,37.0,49.0,Idaho,2014,Governor
CBS News/NYT/YouGov,2014-10-23,575.0,6.0,35.0,53.0,Idaho,2014,Governor
Rasmussen Reports,2014-05-29,750.0,4.0,36.0,50.0,Idaho,2014,Governor
PPP (D),2014-10-12,522.0,4.3,38.0,47.0,Idaho,2014,Governor
CBS News/NYT/YouGov,2014-10-01,594.0,5.0,33.0,57.0,Idaho,2014,Governor
CBS News/NYT/YouGov,2014-09-02,844.0,4.0,33.0,51.0,Idaho,2014,Governor
CBS News/NYT/YouGov,2014-07-24,,,34.0,56.0,Idaho,2014,Governor
rcp_average,,,,36.0,50.7,Idaho,2014,Governor
rcp_average,2014-11-02,,,45.6,44.8,Illinois,2014,Governor
PPP (D),2014-11-02,1064.0,3.0,48.0,48.0,Illinois,2014,Governor
Chicago Sun-Times*,2014-10-28,823.0,3.9,45.0,42.0,Illinois,2014,Governor
CBS News/NYT/YouGov,2014-10-23,3519.0,3.0,45.0,41.0,Illinois,2014,Governor
Rasmussen Reports,2014-10-22,1000.0,3.0,47.0,48.0,Illinois,2014,Governor
Chicago Tribune*,2014-10-21,800.0,3.5,43.0,45.0,Illinois,2014,Governor
The Simon Poll/SIU*,2014-10-15,691.0,3.7,41.0,42.0,Illinois,2014,Governor
Sun-Times/WeAskAmerica*,2014-10-08,1051.0,3.0,44.0,41.0,Illinois,2014,Governor
CBS News/NYT/YouGov,2014-10-01,3955.0,2.0,46.0,43.0,Illinois,2014,Governor
Rasmussen Reports,2014-09-25,750.0,4.0,44.0,42.0,Illinois,2014,Governor
WeAskAmerica*,2014-09-19,1418.0,3.0,41.0,44.0,Illinois,2014,Governor
Chicago Tribune*,2014-09-12,,3.5,48.0,37.0,Illinois,2014,Governor
CBS News/NYT/YouGov,2014-09-02,4363.0,3.0,40.0,44.0,Illinois,2014,Governor
Sun-Times/WeAskAmerica,2014-08-06,1085.0,3.1,38.0,51.0,Illinois,2014,Governor
Rasmussen Reports,2014-07-30,750.0,4.0,39.0,44.0,Illinois,2014,Governor
CBS News/NYT/YouGov,2014-07-24,,,43.0,46.0,Illinois,2014,Governor
Rasmussen Reports,2014-04-10,750.0,4.0,40.0,43.0,Illinois,2014,Governor
WeAskAmerica,2014-01-30,1354.0,2.7,39.0,47.0,Illinois,2014,Governor
PPP (D),2014-11-25,,4.2,41.0,38.0,Illinois,2014,Governor
rcp_average,,,,45.6,44.8,Illinois,2014,Governor
rcp_average,2014-11-03,,,36.7,53.7,Iowa,2014,Governor
PPP (D)*,2014-11-03,1265.0,2.8,40.0,51.0,Iowa,2014,Governor
Quinnipiac,2014-11-02,778.0,3.5,41.0,52.0,Iowa,2014,Governor
Des Moines Register,2014-10-31,701.0,3.7,35.0,59.0,Iowa,2014,Governor
FOX News,2014-10-30,911.0,3.0,36.0,53.0,Iowa,2014,Governor
Rasmussen Reports,2014-10-30,990.0,3.0,37.0,55.0,Iowa,2014,Governor
YouGov,2014-10-31,1112.0,4.4,34.0,49.0,Iowa,2014,Governor
Reuters/Ipsos,2014-10-29,1129.0,3.3,34.0,57.0,Iowa,2014,Governor
Quinnipiac,2014-10-27,817.0,3.4,37.0,56.0,Iowa,2014,Governor
Loras College,2014-10-24,1121.0,2.9,34.0,55.0,Iowa,2014,Governor
NBC News/Marist,2014-10-22,772.0,3.5,36.0,59.0,Iowa,2014,Governor
CBS News/NYT/YouGov,2014-10-23,2322.0,3.0,37.0,50.0,Iowa,2014,Governor
Quinnipiac,2014-10-21,964.0,3.2,37.0,55.0,Iowa,2014,Governor
USA Today/Suffolk*,2014-10-14,500.0,4.4,37.0,54.0,Iowa,2014,Governor
Quinnipiac,2014-10-13,967.0,3.2,39.0,54.0,Iowa,2014,Governor
Des Moines Register/Bloomberg,2014-10-08,1000.0,3.1,39.0,54.0,Iowa,2014,Governor
Loras College,2014-10-03,600.0,4.0,33.0,56.0,Iowa,2014,Governor
NBC News/Marist,2014-10-01,778.0,3.5,36.0,58.0,Iowa,2014,Governor
CBS News/NYT/YouGov,2014-10-01,2359.0,2.0,39.0,52.0,Iowa,2014,Governor
PPP (D),2014-09-28,1192.0,2.8,38.0,52.0,Iowa,2014,Governor
Des Moines Register*,2014-09-24,546.0,4.2,34.0,48.0,Iowa,2014,Governor
Rasmussen Reports,2014-09-18,750.0,4.0,40.0,46.0,Iowa,2014,Governor
FOX News,2014-09-16,600.0,4.0,37.0,50.0,Iowa,2014,Governor
Quinnipiac,2014-09-15,1167.0,2.9,37.0,60.0,Iowa,2014,Governor
Loras College,2014-09-05,1200.0,2.8,34.0,56.0,Iowa,2014,Governor
CBS News/NYT/YouGov,2014-09-02,1764.0,3.0,38.0,51.0,Iowa,2014,Governor
USA Today/Suffolk*,2014-08-26,500.0,4.4,35.0,47.0,Iowa,2014,Governor
PPP (D),2014-08-24,915.0,3.2,37.0,50.0,Iowa,2014,Governor
Rasmussen Reports,2014-08-12,750.0,4.0,35.0,52.0,Iowa,2014,Governor
CBS News/NYT/YouGov,2014-07-24,,,40.0,51.0,Iowa,2014,Governor
NBC News/Marist,2014-07-13,,2.5,38.0,53.0,Iowa,2014,Governor
Quinnipiac,2014-06-16,,2.7,38.0,47.0,Iowa,2014,Governor
Loras College,2014-06-05,600.0,4.0,38.0,52.0,Iowa,2014,Governor
Rasmussen Reports,2014-06-05,750.0,4.0,40.0,49.0,Iowa,2014,Governor
PPP (D),2014-05-19,,3.3,40.0,48.0,Iowa,2014,Governor
CEA/Hickman Analytics (D),2014-04-30,500.0,4.4,40.0,50.0,Iowa,2014,Governor
Vox Populi/Daily Caller (R),2014-04-24,,,43.0,45.0,Iowa,2014,Governor
Suffolk,2014-04-08,800.0,3.5,32.0,42.0,Iowa,2014,Governor
Quinnipiac,2014-03-10,,2.6,35.0,46.0,Iowa,2014,Governor
Des Moines Register,2014-02-26,461.0,4.6,29.0,44.0,Iowa,2014,Governor
PPP (D),2014-02-23,,3.3,36.0,48.0,Iowa,2014,Governor
Quinnipiac,2014-12-15,,2.4,33.0,49.0,Iowa,2014,Governor
Des Moines Register,2014-12-11,325.0,,29.0,52.0,Iowa,2014,Governor
PPP (D),2014-07-07,,3.8,35.0,47.0,Iowa,2014,Governor
Des Moines Register,2014-06-05,591.0,4.0,27.0,55.0,Iowa,2014,Governor
PPP (D),2014-02-03,,,33.0,48.0,Iowa,2014,Governor
rcp_average,,,,36.7,53.7,Iowa,2014,Governor
rcp_average,2014-11-03,,,44.6,42.6,Kansas,2014,Governor
PPP (D)*,2014-11-03,963.0,3.2,46.0,45.0,Kansas,2014,Governor
FOX News*,2014-10-30,907.0,3.0,48.0,42.0,Kansas,2014,Governor
YouGov*,2014-10-31,1137.0,4.8,38.0,39.0,Kansas,2014,Governor
SurveyUSA*,2014-10-26,623.0,4.0,46.0,43.0,Kansas,2014,Governor
NBC News/Marist*,2014-10-22,757.0,3.6,45.0,44.0,Kansas,2014,Governor
CBS News/NYT/YouGov,2014-10-23,1973.0,4.0,40.0,43.0,Kansas,2014,Governor
Rasmussen Reports,2014-10-21,960.0,3.0,52.0,45.0,Kansas,2014,Governor
Remington Research Group (R)*,2014-10-12,1091.0,3.0,45.0,48.0,Kansas,2014,Governor
PPP (D),2014-10-12,1081.0,3.0,45.0,44.0,Kansas,2014,Governor
FOX News*,2014-10-07,702.0,3.5,40.0,46.0,Kansas,2014,Governor
CNN/Opinion Research,2014-10-06,687.0,3.5,49.0,49.0,Kansas,2014,Governor
SurveyUSA*,2014-10-05,549.0,4.3,47.0,42.0,Kansas,2014,Governor
NBC News/Marist*,2014-10-01,636.0,3.9,44.0,43.0,Kansas,2014,Governor
CBS News/NYT/YouGov,2014-10-01,2013.0,3.0,42.0,45.0,Kansas,2014,Governor
USA Today/Suffolk*,2014-09-30,500.0,4.4,46.0,42.0,Kansas,2014,Governor
Rasmussen Reports,2014-09-17,750.0,4.0,47.0,43.0,Kansas,2014,Governor
FOX News*,2014-09-16,604.0,4.0,45.0,41.0,Kansas,2014,Governor
PPP (D),2014-09-14,1328.0,2.7,45.0,39.0,Kansas,2014,Governor
SurveyUSA*,2014-09-07,555.0,4.2,47.0,40.0,Kansas,2014,Governor
CBS News/NYT/YouGov,2014-09-02,839.0,5.0,40.0,47.0,Kansas,2014,Governor
SurveyUSA*,2014-08-23,560.0,4.2,48.0,40.0,Kansas,2014,Governor
PPP (D),2014-08-17,903.0,3.3,44.0,39.0,Kansas,2014,Governor
Rasmussen Reports,2014-08-07,750.0,4.0,51.0,41.0,Kansas,2014,Governor
CBS News/NYT/YouGov,2014-07-24,,,40.0,52.0,Kansas,2014,Governor
SurveyUSA*,2014-07-22,1208.0,2.9,48.0,40.0,Kansas,2014,Governor
SurveyUSA*,2014-06-23,1068.0,3.1,47.0,41.0,Kansas,2014,Governor
Rasmussen Reports,2014-04-17,750.0,4.0,40.0,47.0,Kansas,2014,Governor
PPP (D),2014-02-20,,3.7,42.0,40.0,Kansas,2014,Governor
SurveyUSA*,2014-10-24,,4.4,43.0,39.0,Kansas,2014,Governor
rcp_average,,,,44.6,42.6,Kansas,2014,Governor
rcp_average,2014-11-02,,,39.8,41.2,Maine,2014,Governor
MPRC (D),2014-11-02,906.0,3.3,45.0,44.0,Maine,2014,Governor
Bangor Daily News/Ipsos,2014-10-29,488.0,5.1,42.0,42.0,Maine,2014,Governor
CBS News/NYT/YouGov,2014-10-23,1177.0,5.0,37.0,35.0,Maine,2014,Governor
Portland Press Herald,2014-10-21,639.0,3.8,35.0,45.0,Maine,2014,Governor
Pan Atlantic SMS,2014-10-21,400.0,4.9,40.0,40.0,Maine,2014,Governor
Rasmussen Reports,2014-10-09,930.0,3.0,40.0,41.0,Maine,2014,Governor
Bangor Daily News/Ipsos,2014-10-12,540.0,4.8,42.0,36.0,Maine,2014,Governor
Critical Insights,2014-09-30,606.0,4.0,36.0,39.0,Maine,2014,Governor
CBS News/NYT/YouGov,2014-10-01,1531.0,3.0,39.0,37.0,Maine,2014,Governor
Pan Atlantic SMS,2014-09-29,400.0,4.9,34.0,39.0,Maine,2014,Governor
Portland Press Herald,2014-09-25,482.0,4.4,41.0,39.0,Maine,2014,Governor
Rasmussen Reports,2014-09-04,750.0,4.0,43.0,39.0,Maine,2014,Governor
CBS News/NYT/YouGov,2014-09-02,1202.0,4.0,37.0,38.0,Maine,2014,Governor
MPRC (D),2014-07-28,796.0,3.5,43.0,41.0,Maine,2014,Governor
Portland Press Herald,2014-06-18,527.0,4.3,40.0,36.0,Maine,2014,Governor
Rasmussen Reports,2014-04-25,830.0,3.0,40.0,40.0,Maine,2014,Governor
Critical Insights,2014-04-23,,4.0,37.0,36.0,Maine,2014,Governor
Pan Atlantic SMS,2014-04-05,400.0,4.9,37.0,39.0,Maine,2014,Governor
Pan Atlantic SMS,2014-11-30,400.0,4.9,37.0,36.0,Maine,2014,Governor
PPP (D),2014-11-11,,3.2,38.0,36.0,Maine,2014,Governor
Critical Insights,2014-09-30,600.0,4.0,33.0,30.0,Maine,2014,Governor
MPRC (D),2014-09-10,652.0,3.8,40.0,34.0,Maine,2014,Governor
PPP (D),2014-08-25,,3.2,39.0,35.0,Maine,2014,Governor
Pan Atlantic SMS,2014-03-16,,4.9,23.0,34.0,Maine,2014,Governor
PPP (D),2014-01-20,,2.8,30.0,34.0,Maine,2014,Governor
rcp_average,,,,39.8,41.2,Maine,2014,Governor
WPA Research (R)***,2014-10-27,504.0,4.4,39.0,44.0,Maryland,2014,Governor
