pollster,date,sampleSize,marginError,dvalue,rvalue,Year,Type,state
Rasmussen Reports,2020-08-04 00:00:00,2500.0,2.0,48.0,45.0,2020,National Presidential,
Emerson,2020-07-30 00:00:00,964.0,3.1,50.0,46.0,2020,National Presidential,
Economist/YouGov,2020-07-28 00:00:00,,3.4,49.0,40.0,2020,National Presidential,
IBD/TIPP,2020-07-28 00:00:00,,3.1,48.0,41.0,2020,National Presidential,
Rasmussen Reports,2020-07-28 00:00:00,2500.0,2.0,48.0,42.0,2020,National Presidential,
CNBC/Change Research (D)*,2020-07-26 00:00:00,1039.0,3.0,51.0,42.0,2020,National Presidential,
CBS News/YouGov,2020-07-24 00:00:00,1401.0,,51.0,41.0,2020,National Presidential,
Harvard-Harris,2020-07-23 00:00:00,,,55.0,45.0,2020,National Presidential,
Economist/YouGov,2020-07-21 00:00:00,,3.2,48.0,41.0,2020,National Presidential,
Rasmussen Reports,2020-07-21 00:00:00,2500.0,2.0,47.0,45.0,2020,National Presidential,
The Hill/HarrisX,2020-07-20 00:00:00,,1.8,45.0,38.0,2020,National Presidential,
FOX News,2020-07-15 00:00:00,,3.0,49.0,41.0,2020,National Presidential,
ABC News/Wash Post,2020-07-15 00:00:00,673.0,,54.0,44.0,2020,National Presidential,
Economist/YouGov,2020-07-14 00:00:00,,3.3,49.0,40.0,2020,National Presidential,
CNBC/Change Research (D)*,2020-07-12 00:00:00,1258.0,2.8,51.0,41.0,2020,National Presidential,
Rasmussen Reports,2020-07-14 00:00:00,1500.0,2.0,47.0,44.0,2020,National Presidential,
Quinnipiac,2020-07-13 00:00:00,,2.8,52.0,37.0,2020,National Presidential,
NBC News/Wall St. Jrnl,2020-07-12 00:00:00,,3.3,51.0,40.0,2020,National Presidential,
Economist/YouGov,2020-07-07 00:00:00,,3.6,49.0,40.0,2020,National Presidential,
Rasmussen Reports,2020-07-07 00:00:00,1500.0,2.5,50.0,40.0,2020,National Presidential,
The Hill/HarrisX,2020-07-04 00:00:00,,3.2,43.0,39.0,2020,National Presidential,
Economist/YouGov,2020-06-30 00:00:00,,3.4,49.0,40.0,2020,National Presidential,
IBD/TIPP,2020-06-30 00:00:00,,3.1,48.0,40.0,2020,National Presidential,
Monmouth,2020-06-30 00:00:00,,3.6,53.0,41.0,2020,National Presidential,
CNBC/Change Research (D),2020-06-28 00:00:00,1663.0,1.6,49.0,41.0,2020,National Presidential,
USA Today/Suffolk,2020-06-29 00:00:00,,3.1,53.0,41.0,2020,National Presidential,
NPR/PBS/Marist,2020-06-24 00:00:00,,3.5,52.0,44.0,2020,National Presidential,
The Hill/HarrisX,2020-06-23 00:00:00,,3.2,43.0,39.0,2020,National Presidential,
Economist/YouGov,2020-06-23 00:00:00,,3.3,49.0,41.0,2020,National Presidential,
CNBC,2020-06-22 00:00:00,,3.5,47.0,38.0,2020,National Presidential,
NY Times/Siena,2020-06-22 00:00:00,,3.0,50.0,36.0,2020,National Presidential,
Harvard-Harris,2020-06-18 00:00:00,,,56.0,44.0,2020,National Presidential,
Economist/YouGov,2020-06-16 00:00:00,,3.5,50.0,41.0,2020,National Presidential,
FOX News,2020-06-16 00:00:00,,2.5,50.0,38.0,2020,National Presidential,
Quinnipiac,2020-06-15 00:00:00,,2.7,49.0,41.0,2020,National Presidential,
CNBC/Change Research (D),2020-06-12 00:00:00,1250.0,2.8,51.0,41.0,2020,National Presidential,
Economist/YouGov,2020-06-09 00:00:00,,3.4,49.0,41.0,2020,National Presidential,
CNN,2020-06-05 00:00:00,,3.6,55.0,41.0,2020,National Presidential,
NPR/PBS/Marist,2020-06-03 00:00:00,,4.0,50.0,43.0,2020,National Presidential,
Emerson,2020-06-03 00:00:00,,2.5,53.0,47.0,2020,National Presidential,
The Hill/HarrisX,2020-06-04 00:00:00,,1.8,47.0,37.0,2020,National Presidential,
IBD/TIPP,2020-06-03 00:00:00,,2.9,45.0,42.0,2020,National Presidential,
NBC News/Wall St. Jrnl,2020-06-02 00:00:00,,3.1,49.0,42.0,2020,National Presidential,
Economist/YouGov,2020-06-02 00:00:00,,3.2,47.0,40.0,2020,National Presidential,
CNBC,2020-05-31 00:00:00,1457.0,2.6,48.0,41.0,2020,National Presidential,
Monmouth,2020-06-01 00:00:00,,3.6,52.0,41.0,2020,National Presidential,
CBS News/YouGov,2020-06-01 00:00:00,1486.0,2.6,47.0,43.0,2020,National Presidential,
ABC News/Wash Post,2020-05-28 00:00:00,,4.0,53.0,43.0,2020,National Presidential,
Economist/YouGov,2020-05-26 00:00:00,,3.4,45.0,42.0,2020,National Presidential,
FOX News,2020-05-20 00:00:00,,3.0,48.0,40.0,2020,National Presidential,
Rasmussen Reports,2020-05-19 00:00:00,1000.0,3.0,48.0,43.0,2020,National Presidential,
Economist/YouGov,2020-05-19 00:00:00,,3.2,47.0,42.0,2020,National Presidential,
CNBC,2020-05-17 00:00:00,1424.0,2.6,48.0,45.0,2020,National Presidential,
Quinnipiac,2020-05-18 00:00:00,,2.7,50.0,39.0,2020,National Presidential,
The Hill/HarrisX,2020-05-14 00:00:00,,3.2,42.0,41.0,2020,National Presidential,
Harvard-Harris,2020-05-14 00:00:00,,2.0,53.0,47.0,2020,National Presidential,
Economist/YouGov,2020-05-12 00:00:00,,3.4,47.0,43.0,2020,National Presidential,
CNN,2020-05-10 00:00:00,,3.7,51.0,46.0,2020,National Presidential,
Economist/YouGov,2020-05-05 00:00:00,,3.3,46.0,42.0,2020,National Presidential,
CNBC,2020-05-03 00:00:00,1489.0,2.5,47.0,44.0,2020,National Presidential,
Monmouth,2020-05-04 00:00:00,,3.6,50.0,41.0,2020,National Presidential,
CBS News/YouGov,2020-05-01 00:00:00,1671.0,2.5,49.0,43.0,2020,National Presidential,
IBD/TIPP,2020-04-29 00:00:00,,3.3,43.0,43.0,2020,National Presidential,
Emerson,2020-04-28 00:00:00,,2.8,48.0,42.0,2020,National Presidential,
Economist/YouGov,2020-04-28 00:00:00,,3.2,47.0,41.0,2020,National Presidential,
USA Today/Suffolk,2020-04-25 00:00:00,,3.0,50.0,40.0,2020,National Presidential,
Economist/YouGov,2020-04-21 00:00:00,,3.4,48.0,42.0,2020,National Presidential,
The Hill/HarrisX,2020-04-20 00:00:00,,3.2,42.0,40.0,2020,National Presidential,
NBC News/Wall St. Jrnl,2020-04-15 00:00:00,,3.3,49.0,42.0,2020,National Presidential,
Harvard-Harris,2020-04-16 00:00:00,,,53.0,47.0,2020,National Presidential,
Economist/YouGov,2020-04-14 00:00:00,,3.4,48.0,43.0,2020,National Presidential,
Monmouth,2020-04-07 00:00:00,,3.6,48.0,44.0,2020,National Presidential,
FOX News,2020-04-07 00:00:00,,3.0,42.0,42.0,2020,National Presidential,
Economist/YouGov,2020-04-07 00:00:00,,3.3,48.0,42.0,2020,National Presidential,
CNBC,2020-04-06 00:00:00,,4.0,44.0,39.0,2020,National Presidential,
CNN,2020-04-06 00:00:00,,3.9,53.0,42.0,2020,National Presidential,
Quinnipiac,2020-04-06 00:00:00,,2.2,49.0,41.0,2020,National Presidential,
IBD/TIPP,2020-04-01 00:00:00,,3.2,47.0,41.0,2020,National Presidential,
Economist/YouGov,2020-03-31 00:00:00,,3.2,46.0,42.0,2020,National Presidential,
Grinnell/Selzer,2020-03-30 00:00:00,777.0,3.5,47.0,43.0,2020,National Presidential,
Harvard-Harris,2020-03-26 00:00:00,,2.0,55.0,45.0,2020,National Presidential,
ABC News/Wash Post,2020-03-25 00:00:00,,3.5,49.0,47.0,2020,National Presidential,
Economist/YouGov,2020-03-24 00:00:00,,3.4,46.0,42.0,2020,National Presidential,
FOX News,2020-03-24 00:00:00,,3.0,49.0,40.0,2020,National Presidential,
Monmouth,2020-03-22 00:00:00,,3.6,48.0,45.0,2020,National Presidential,
Emerson,2020-03-19 00:00:00,,2.9,53.0,47.0,2020,National Presidential,
Economist/YouGov,2020-03-17 00:00:00,,3.5,48.0,41.0,2020,National Presidential,
NBC News/Wall St. Jrnl,2020-03-13 00:00:00,,3.3,52.0,43.0,2020,National Presidential,
Economist/YouGov,2020-03-10 00:00:00,,2.9,47.0,43.0,2020,National Presidential,
CNN,2020-03-07 00:00:00,,3.5,53.0,43.0,2020,National Presidential,
Quinnipiac,2020-03-08 00:00:00,,2.8,52.0,41.0,2020,National Presidential,
Harvard-Harris,2020-02-28 00:00:00,,,55.0,45.0,2020,National Presidential,
IBD/TIPP,2020-02-29 00:00:00,,3.5,49.0,46.0,2020,National Presidential,
FOX News,2020-02-26 00:00:00,,3.0,49.0,41.0,2020,National Presidential,
CBS News/YouGov,2020-02-22 00:00:00,,1.2,47.0,45.0,2020,National Presidential,
ABC News/Wash Post,2020-02-17 00:00:00,,4.0,52.0,45.0,2020,National Presidential,
Emerson,2020-02-18 00:00:00,,2.7,48.0,52.0,2020,National Presidential,
NBC News/Wall St. Jrnl,2020-02-17 00:00:00,,3.3,52.0,44.0,2020,National Presidential,
NPR/PBS/Marist,2020-02-16 00:00:00,,3.7,50.0,44.0,2020,National Presidential,
Quinnipiac,2020-02-09 00:00:00,,2.5,50.0,43.0,2020,National Presidential,
NBC News/Wall St. Jrnl,2020-01-29 00:00:00,,3.1,50.0,44.0,2020,National Presidential,
IBD/TIPP,2020-01-30 00:00:00,,3.3,49.0,48.0,2020,National Presidential,
Emerson,2020-01-23 00:00:00,,2.8,50.0,50.0,2020,National Presidential,
ABC News/Wash Post,2020-01-23 00:00:00,,4.0,50.0,46.0,2020,National Presidential,
LA Times/USC,2020-01-28 00:00:00,,2.0,49.0,40.0,2020,National Presidential,
FOX News,2020-01-22 00:00:00,,3.0,50.0,41.0,2020,National Presidential,
CNN,2020-01-19 00:00:00,,3.6,53.0,44.0,2020,National Presidential,
IBD/TIPP,2020-01-11 00:00:00,,3.3,48.0,46.0,2020,National Presidential,
Emerson,2020-12-17 00:00:00,,2.7,52.0,48.0,2020,National Presidential,
CNN,2020-12-15 00:00:00,,4.0,49.0,44.0,2020,National Presidential,
USA Today/Suffolk,2020-12-14 00:00:00,,3.0,41.0,44.0,2020,National Presidential,
IBD/TIPP,2020-12-14 00:00:00,,3.5,50.0,45.0,2020,National Presidential,
FOX News,2020-12-11 00:00:00,,3.0,48.0,41.0,2020,National Presidential,
Quinnipiac,2020-12-09 00:00:00,,2.5,51.0,42.0,2020,National Presidential,
SurveyUSA,2020-11-21 00:00:00,,1.7,52.0,39.0,2020,National Presidential,
Emerson,2020-11-20 00:00:00,,2.9,49.0,51.0,2020,National Presidential,
NBC News/Wall St. Jrnl,2020-10-30 00:00:00,,3.7,50.0,41.0,2020,National Presidential,
ABC News/Wash Post,2020-10-30 00:00:00,,4.0,56.0,39.0,2020,National Presidential,
FOX News,2020-10-30 00:00:00,,3.0,51.0,39.0,2020,National Presidential,
IBD/TIPP,2020-10-31 00:00:00,,3.5,53.0,43.0,2020,National Presidential,
Emerson,2020-10-21 00:00:00,,3.0,51.0,49.0,2020,National Presidential,
CNN,2020-10-20 00:00:00,,4.0,53.0,43.0,2020,National Presidential,
SurveyUSA,2020-10-16 00:00:00,,2.1,52.0,41.0,2020,National Presidential,
FOX News,2020-10-08 00:00:00,,3.0,50.0,40.0,2020,National Presidential,
Quinnipiac,2020-10-07 00:00:00,,3.1,51.0,40.0,2020,National Presidential,
IBD/TIPP,2020-10-03 00:00:00,,3.5,51.0,44.0,2020,National Presidential,
Rasmussen Reports,2020-09-24 00:00:00,1000.0,3.0,43.0,47.0,2020,National Presidential,
Emerson,2020-09-23 00:00:00,,3.0,50.0,49.0,2020,National Presidential,
FOX News,2020-09-17 00:00:00,,3.0,52.0,38.0,2020,National Presidential,
SurveyUSA,2020-09-16 00:00:00,,1.6,49.0,41.0,2020,National Presidential,
ABC News/Wash Post,2020-09-05 00:00:00,,4.0,55.0,40.0,2020,National Presidential,
IBD/TIPP,2020-08-30 00:00:00,,3.5,54.0,42.0,2020,National Presidential,
Emerson,2020-08-26 00:00:00,,2.5,54.0,46.0,2020,National Presidential,
Quinnipiac,2020-08-26 00:00:00,,4.6,54.0,38.0,2020,National Presidential,
FOX News,2020-08-13 00:00:00,,3.0,50.0,38.0,2020,National Presidential,
SurveyUSA,2020-08-05 00:00:00,,1.6,50.0,42.0,2020,National Presidential,
IBD/TIPP,2020-08-01 00:00:00,,3.5,54.0,41.0,2020,National Presidential,
Emerson,2020-07-29 00:00:00,,2.7,51.0,49.0,2020,National Presidential,
FOX News,2020-07-23 00:00:00,,3.0,49.0,39.0,2020,National Presidential,
NBC News/Wall St. Jrnl,2020-07-09 00:00:00,,3.5,51.0,42.0,2020,National Presidential,
Emerson,2020-07-08 00:00:00,,2.9,53.0,47.0,2020,National Presidential,
ABC News/Wash Post,2020-07-01 00:00:00,,4.0,53.0,43.0,2020,National Presidential,
Rasmussen Reports,2020-07-02 00:00:00,4500.0,1.5,48.0,44.0,2020,National Presidential,
Emerson,2020-06-24 00:00:00,,2.9,55.0,45.0,2020,National Presidential,
FOX News,2020-06-12 00:00:00,,3.0,49.0,39.0,2020,National Presidential,
Quinnipiac,2020-06-10 00:00:00,,3.5,53.0,40.0,2020,National Presidential,
FOX News,2020-05-14 00:00:00,,3.0,49.0,38.0,2020,National Presidential,
Emerson,2020-05-13 00:00:00,,3.0,54.0,46.0,2020,National Presidential,
CNN,2020-04-29 00:00:00,,5.5,51.0,45.0,2020,National Presidential,
The Hill/HarrisX,2020-04-26 00:00:00,,3.1,43.0,37.0,2020,National Presidential,
Politico/Morning Consult,2020-04-21 00:00:00,,2.0,42.0,34.0,2020,National Presidential,
Emerson,2020-04-14 00:00:00,,3.2,53.0,47.0,2020,National Presidential,
PPP (D),2020-03-28 00:00:00,,3.4,53.0,40.0,2020,National Presidential,
Rasmussen Reports,2020-03-21 00:00:00,5000.0,1.5,49.0,44.0,2020,National Presidential,
FOX News,2020-03-20 00:00:00,,3.0,47.0,40.0,2020,National Presidential,
Emerson,2020-03-18 00:00:00,,2.8,55.0,45.0,2020,National Presidential,
Emerson,2020-02-16 00:00:00,,3.3,55.0,45.0,2020,National Presidential,
PPP (D),2020-01-21 00:00:00,,3.6,53.0,41.0,2020,National Presidential,
PPP (D),2020-06-10 00:00:00,,3.8,53.0,39.0,2020,National Presidential,
PPP (D),2020-03-25 00:00:00,,3.4,56.0,39.0,2020,National Presidential,
PPP (D),2020-02-11 00:00:00,,3.7,51.0,42.0,2020,National Presidential,
CNN,2020-01-18 00:00:00,,3.8,57.0,40.0,2020,National Presidential,
PPP (D),2020-12-12 00:00:00,,3.3,54.0,40.0,2020,National Presidential,
PPP (D),2020-10-29 00:00:00,,4.1,56.0,38.0,2020,National Presidential,
Emerson,2020-10-14 00:00:00,,3.4,51.0,42.0,2020,National Presidential,
PPP (D),2020-09-25 00:00:00,,3.3,53.0,40.0,2020,National Presidential,
PPP (D),2020-08-21 00:00:00,,3.3,51.0,39.0,2020,National Presidential,
PPP (D),2020-07-17 00:00:00,,3.4,54.0,39.0,2020,National Presidential,
PPP (D),2020-06-11 00:00:00,,3.4,54.0,41.0,2020,National Presidential,
PPP (D),2020-05-14 00:00:00,,3.7,54.0,40.0,2020,National Presidential,
PPP (D),2020-04-18 00:00:00,,3.9,54.0,40.0,2020,National Presidential,
PPP (D),2020-03-28 00:00:00,,3.8,54.0,40.0,2020,National Presidential,
Auburn Univ.,2020-10-28 00:00:00,853.0,4.4,39.0,58.0,2020,Presidential,Alabama
Auburn Univ.,2020-10-03 00:00:00,,4.0,37.0,57.0,2020,Presidential,Alabama
AL Daily News/Mason-Dixon,2020-02-06 00:00:00,,4.0,38.0,58.0,2020,Presidential,Alabama
NY Times/Siena*,2020-10-14 00:00:00,423.0,5.7,39.0,45.0,2020,Presidential,Alaska
PPP (D),2020-07-08 00:00:00,,3.0,45.0,48.0,2020,Presidential,Alaska
rcp_average,2020-11-01 00:00:00,,,47.9,47.0,2020,Presidential,Arizona
NBC News/Marist,2020-11-01 00:00:00,717.0,4.5,48.0,48.0,2020,Presidential,Arizona
