pollster,date,sampleSize,dvalue,rvalue,year,winner,type,Type
Rasmussen Reports,1/26/2014,3500,42,37,2014,R,congressional,congressional
ABC News/Wash Post,1/23/2014,,45,46,2014,R,congressional,congressional
FOX News,1/21/2014,1010,41,43,2014,R,congressional,congressional
Quinnipiac,1/19/2014,1933,37,38,2014,R,congressional,congressional
GWU/Battleground,1/16/2014,1000,41,43,2014,R,congressional,congressional
Rasmussen Reports,1/19/2014,3500,41,35,2014,R,congressional,congressional
Rasmussen Reports,1/12/2014,3500,41,37,2014,R,congressional,congressional
Quinnipiac,1/7/2014,1487,37,38,2014,R,congressional,congressional
Rasmussen Reports,1/5/2014,3500,40,38,2014,R,congressional,congressional
Rasmussen Reports,12/29/2013,3500,40,40,2014,R,congressional,congressional
Rasmussen Reports,12/22/2013,3500,39,42,2014,R,congressional,congressional
CNN/Opinion Research,12/19/2013,950,44,49,2014,R,congressional,congressional
FOX News,12/16/2013,1027,43,43,2014,R,congressional,congressional
ABC News/Wash Post,12/15/2013,,47,45,2014,R,congressional,congressional
PPP (D),12/15/2013,1316,43,40,2014,R,congressional,congressional
Rasmussen Reports,12/15/2013,3500,40,40,2014,R,congressional,congressional
Quinnipiac,12/9/2013,2692,38,41,2014,R,congressional,congressional
USA Today/Pew Research,12/8/2013,1579,48,44,2014,R,congressional,congressional
Rasmussen Reports,12/8/2013,3500,38,43,2014,R,congressional,congressional
McClatchy/Marist,12/5/2013,988,43,43,2014,R,congressional,congressional
Rasmussen Reports,12/1/2013,3500,38,43,2014,R,congressional,congressional
CNN/Opinion Research,11/20/2013,749,47,49,2014,R,congressional,congressional
Rasmussen Reports,11/24/2013,3500,41,40,2014,R,congressional,congressional
Rasmussen Reports,11/17/2013,3500,39,40,2014,R,congressional,congressional
FOX News,11/12/2013,1006,40,43,2014,R,congressional,congressional
Quinnipiac,11/11/2013,2545,39,39,2014,R,congressional,congressional
Rasmussen Reports,11/10/2013,3500,41,39,2014,R,congressional,congressional
Rasmussen Reports,11/3/2013,3500,43,37,2014,R,congressional,congressional
PPP (D),10/31/2013,649,44,38,2014,R,congressional,congressional
GWU/Battleground,10/31/2013,1000,44,41,2014,R,congressional,congressional
Rasmussen Reports,10/27/2013,3500,43,37,2014,R,congressional,congressional
FOX News,10/22/2013,1020,45,37,2014,R,congressional,congressional
CNN/Opinion Research,10/20/2013,,50,42,2014,R,congressional,congressional
ABC News/Wash Post,10/20/2013,,48,40,2014,R,congressional,congressional
Rasmussen Reports,10/20/2013,3500,43,36,2014,R,congressional,congressional
Pew Research,10/13/2013,1259,49,43,2014,R,congressional,congressional
Rasmussen Reports,10/13/2013,3500,45,38,2014,R,congressional,congressional
Democracy Corps (D),10/8/2013,860,47,43,2014,R,congressional,congressional
PPP (D),10/6/2013,1000,46,41,2014,R,congressional,congressional
Rasmussen Reports,10/6/2013,3500,40,40,2014,R,congressional,congressional
Rasmussen Reports,9/29/2013,3500,42,38,2014,R,congressional,congressional
Quinnipiac,9/29/2013,1497,43,34,2014,R,congressional,congressional
PPP (D),9/26/2013,790,45,40,2014,R,congressional,congressional
Rasmussen Reports,9/22/2013,3500,40,37,2014,R,congressional,congressional
Rasmussen Reports,9/15/2013,3500,38,38,2014,R,congressional,congressional
Rasmussen Reports,9/8/2013,3500,39,39,2014,R,congressional,congressional
Rasmussen Reports,9/1/2013,3500,39,37,2014,R,congressional,congressional
Rasmussen Reports,8/25/2013,3500,38,39,2014,R,congressional,congressional
Rasmussen Reports,8/18/2013,3500,38,38,2014,R,congressional,congressional
Rasmussen Reports,8/11/2013,3500,39,39,2014,R,congressional,congressional
Rasmussen Reports,8/4/2013,3500,38,41,2014,R,congressional,congressional
Quinnipiac,7/31/2013,1468,40,36,2014,R,congressional,congressional
Rasmussen Reports,7/28/2013,3500,39,38,2014,R,congressional,congressional
Rasmussen Reports,7/21/2013,3500,40,38,2014,R,congressional,congressional
Democracy Corps (D),7/15/2013,841,43,44,2014,R,congressional,congressional
Rasmussen Reports,7/14/2013,3500,38,39,2014,R,congressional,congressional
Quinnipiac,7/8/2013,2014,39,34,2014,R,congressional,congressional
Rasmussen Reports,7/7/2013,3500,39,40,2014,R,congressional,congressional
Rasmussen Reports,6/30/2013,3500,38,39,2014,R,congressional,congressional
Rasmussen Reports,6/23/2013,3500,40,39,2014,R,congressional,congressional
Rasmussen Reports,6/16/2013,3500,39,39,2014,R,congressional,congressional
PPP (D),6/13/2013,603,47,40,2014,R,congressional,congressional
Rasmussen Reports,6/9/2013,3500,40,38,2014,R,congressional,congressional
Rasmussen Reports,6/2/2013,3500,40,40,2014,R,congressional,congressional
Quinnipiac,5/28/2013,1419,38,38,2014,R,congressional,congressional
Rasmussen Reports,5/26/2013,3500,41,39,2014,R,congressional,congressional
ABC News/Wash Post,5/19/2013,,48,40,2014,R,congressional,congressional
Rasmussen Reports,5/19/2013,3500,39,40,2014,R,congressional,congressional
Rasmussen Reports,5/11/2013,3500,40,38,2014,R,congressional,congressional
PPP (D),5/9/2013,1099,45,43,2014,R,congressional,congressional
Rasmussen Reports,5/5/2013,3500,40,38,2014,R,congressional,congressional
Quinnipiac,4/29/2013,1471,41,37,2014,R,congressional,congressional
Rasmussen Reports,4/28/2013,3500,39,40,2014,R,congressional,congressional
Rasmussen Reports,4/21/2013,3500,41,39,2014,R,congressional,congressional
Rasmussen Reports,4/14/2013,3500,42,38,2014,R,congressional,congressional
Rasmussen Reports,4/7/2013,3500,41,38,2014,R,congressional,congressional
Quinnipiac,4/1/2013,1711,43,35,2014,R,congressional,congressional
PPP (D),3/30/2013,1247,46,42,2014,R,congressional,congressional
Rasmussen Reports,3/31/2013,3500,44,37,2014,R,congressional,congressional
Rasmussen Reports,3/24/2013,3500,43,38,2014,R,congressional,congressional
Rasmussen Reports,3/17/2013,3500,43,38,2014,R,congressional,congressional
Democracy Corps (D),3/12/2013,840,46,42,2014,R,congressional,congressional
Rasmussen Reports,3/10/2013,3500,43,40,2014,R,congressional,congressional
Rasmussen Reports,3/3/2013,3500,43,40,2014,R,congressional,congressional
Rasmussen Reports,2/24/2013,3500,43,38,2014,R,congressional,congressional
Rasmussen Reports,2/17/2013,3500,43,37,2014,R,congressional,congressional
Rasmussen Reports,2/10/2013,3500,42,39,2014,R,congressional,congressional
PPP (D),2/3/2013,800,45,45,2014,R,congressional,congressional
Rasmussen Reports,2/3/2013,3000,44,38,2014,R,congressional,congressional
Rasmussen Reports,1/27/2013,3000,45,37,2014,R,congressional,congressional
Rasmussen Reports,1/20/2013,3000,44,39,2014,R,congressional,congressional
Democracy Corps (D),1/14/2013,852,46,42,2014,R,congressional,congressional
Rasmussen Reports,1/13/2013,3000,43,37,2014,R,congressional,congressional
PPP (D),1/6/2013,1100,47,41,2014,R,congressional,congressional
Rasmussen Reports,1/6/2013,3000,44,38,2014,R,congressional,congressional
Rasmussen Reports,12/30/2012,3000,46,35,2014,R,congressional,congressional
Rasmussen Reports,12/22/2012,3500,44,38,2014,R,congressional,congressional
Rasmussen Reports,12/16/2012,3500,46,38,2014,R,congressional,congressional
Rasmussen Reports,12/9/2012,3500,46,36,2014,R,congressional,congressional
Politico/GWU/Battleground,12/6/2012,1000,45,42,2014,R,congressional,congressional
Rasmussen Reports,12/2/2012,3500,47,36,2014,R,congressional,congressional
Rasmussen Reports,11/25/2012,3500,45,40,2014,R,congressional,congressional
Rasmussen Reports,11/18/2012,3500,45,40,2014,R,congressional,congressional
Rasmussen Reports,11/11/2012,3500,45,42,2014,R,congressional,congressional
Bloomberg,11/6/2016,799,45,48,2016,R,congressional,congressional
Economist/YouGov,11/7/2016,3677,45,42,2016,R,congressional,congressional
FOX News,11/6/2016,1295,45,46,2016,R,congressional,congressional
NBC News/Wall St. Jrnl,11/5/2016,1282,47,44,2016,R,congressional,congressional
McClatchy/Marist,11/3/2016,940,48,47,2016,R,congressional,congressional
Economist/YouGov,11/1/2016,1228,46,41,2016,R,congressional,congressional
Reuters/Ipsos,11/2/2016,1858,42,41,2016,R,congressional,congressional
CBS News/NY Times,11/1/2016,1333,49,46,2016,R,congressional,congressional
Economist/YouGov,10/26/2016,1209,45,40,2016,R,congressional,congressional
FOX News,10/25/2016,1221,47,45,2016,R,congressional,congressional
ABC News,10/24/2016,828,47,46,2016,R,congressional,congressional
Associated Press-GfK,10/24/2016,1212,46,41,2016,R,congressional,congressional
CNN/ORC,10/23/2016,779,50,47,2016,R,congressional,congressional
Reuters/Ipsos,10/24/2016,1170,44,39,2016,R,congressional,congressional
Economist/YouGov,10/18/2016,925,43,38,2016,R,congressional,congressional
Bloomberg,10/17/2016,1006,47,43,2016,R,congressional,congressional
Reuters/Ipsos,10/17/2016,1190,43,39,2016,R,congressional,congressional
CBS News,10/16/2016,1189,50,45,2016,R,congressional,congressional
NBC News/Wall St. Jrnl,10/13/2016,905,47,44,2016,R,congressional,congressional
ABC News/Wash Post,10/13/2016,740,47,44,2016,R,congressional,congressional
FOX News,10/12/2016,917,48,42,2016,R,congressional,congressional
GWU/Battleground,10/13/2016,1000,47,42,2016,R,congressional,congressional
NBC News/Wall St. Jrnl,10/10/2016,900,48,42,2016,R,congressional,congressional
Reuters/Ipsos,10/10/2016,2363,46,36,2016,R,congressional,congressional
NBC News/Wall St. Jrnl,10/9/2016,500,49,42,2016,R,congressional,congressional
Economist/YouGov,10/8/2016,971,42,39,2016,R,congressional,congressional
Economist/YouGov,10/3/2016,911,43,37,2016,R,congressional,congressional
Reuters/Ipsos,10/3/2016,1669,42,38,2016,R,congressional,congressional
FOX News,9/29/2016,911,44,43,2016,R,congressional,congressional
Reuters/Ipsos,9/26/2016,1041,42,36,2016,R,congressional,congressional
Bloomberg,9/24/2016,1002,46,44,2016,R,congressional,congressional
Economist/YouGov,9/24/2016,948,43,38,2016,R,congressional,congressional
NBC News/Wall St. Jrnl,9/19/2016,1000,48,45,2016,R,congressional,congressional
McClatchy/Marist,9/20/2016,758,49,45,2016,R,congressional,congressional
Economist/YouGov,9/19/2016,936,43,36,2016,R,congressional,congressional
Reuters/Ipsos,9/19/2016,1111,39,40,2016,R,congressional,congressional
Economist/YouGov,9/13/2016,926,44,38,2016,R,congressional,congressional
Reuters/Ipsos,9/12/2016,1752,40,38,2016,R,congressional,congressional
Economist/YouGov,9/6/2016,955,41,38,2016,R,congressional,congressional
Reuters/Ipsos,9/5/2016,1084,40,39,2016,R,congressional,congressional
CNN/ORC,9/4/2016,786,47,49,2016,R,congressional,congressional
GWU/Battleground,9/1/2016,1000,45,43,2016,R,congressional,congressional
McClatchy/Marist,8/3/2016,983,49,41,2016,R,congressional,congressional
NBC News/Wall St. Jrnl,8/3/2016,800,47,43,2016,R,congressional,congressional
PPP (D),7/30/2016,1276,47,44,2016,R,congressional,congressional
FOX News,6/28/2016,1017,46,41,2016,R,congressional,congressional
NBC News/Wall St. Jrnl,6/23/2016,1000,46,46,2016,R,congressional,congressional
NBC News/Wall St. Jrnl,5/19/2016,1000,48,44,2016,R,congressional,congressional
ABC News/Wash Post,5/19/2016,829,45,45,2016,R,congressional,congressional
GWU/Battleground,4/20/2016,1000,46,41,2016,R,congressional,congressional
NBC News/Wall St. Jrnl,4/14/2016,1000,47,45,2016,R,congressional,congressional
PPP (D),3/26/2016,1083,43,43,2016,R,congressional,congressional
PPP (D),2/3/2016,1236,47,41,2016,R,congressional,congressional
PPP (D),12/17/2015,1267,43,43,2016,R,congressional,congressional
NBC News/Wall St. Jrnl,10/29/2015,847,45,45,2016,R,congressional,congressional
Quinnipiac,7/28/2015,1644,37,39,2016,R,congressional,congressional
Quinnipiac,5/26/2015,1711,39,36,2016,R,congressional,congressional
Rasmussen Reports,5/14/2015,2500,38,38,2016,R,congressional,congressional
NBC News/Wall St. Jrnl,11/3/2018,774,50,43,2018,D,congressional,congressional
CNN,11/3/2018,1151,55,42,2018,D,congressional,congressional
ABC News/Wash Post,11/1/2018,737,52,44,2018,D,congressional,congressional
Rasmussen Reports,11/1/2018,2500,45,46,2018,D,congressional,congressional
IBD/TIPP,11/3/2018,798,50,41,2018,D,congressional,congressional
Economist/YouGov,10/30/2018,1296,47,42,2018,D,congressional,congressional
NPR/PBS/Marist,10/29/2018,509,52,43,2018,D,congressional,congressional
Harvard-Harris,10/28/2018,1835,47,38,2018,D,congressional,congressional
Reuters/Ipsos,10/30/2018,1383,49,42,2018,D,congressional,congressional
Rasmussen Reports,10/25/2018,2500,47,44,2018,D,congressional,congressional
Economist/YouGov,10/23/2018,1233,47,41,2018,D,congressional,congressional
NPR/PBS/Marist,10/23/2018,738,50,40,2018,D,congressional,congressional
Reuters/Ipsos,10/23/2018,2062,49,42,2018,D,congressional,congressional
USA Today/Suffolk,10/22/2018,1000,51,43,2018,D,congressional,congressional
Rasmussen Reports,10/18/2018,2500,47,44,2018,D,congressional,congressional
NBC News/Wall St. Jrnl,10/17/2018,645,50,41,2018,D,congressional,congressional
Economist/YouGov,10/16/2018,1273,46,41,2018,D,congressional,congressional
FOX News,10/16/2018,841,49,42,2018,D,congressional,congressional
Reuters/Ipsos,10/16/2018,1194,51,40,2018,D,congressional,congressional
ABC News/Wash Post,10/11/2018,991,53,42,2018,D,congressional,congressional
Rasmussen Reports,10/11/2018,2500,45,44,2018,D,congressional,congressional
Economist/YouGov,10/9/2018,1162,47,41,2018,D,congressional,congressional
Reuters/Ipsos,10/9/2018,2012,50,38,2018,D,congressional,congressional
CNBC,10/7/2018,800,42,36,2018,D,congressional,congressional
CNN,10/7/2018,739,54,41,2018,D,congressional,congressional
Emerson,10/4/2018,1000,50,42,2018,D,congressional,congressional
Rasmussen Reports,10/4/2018,2500,45,45,2018,D,congressional,congressional
Economist/YouGov,10/2/2018,1227,45,40,2018,D,congressional,congressional
NPR/PBS/Marist,10/1/2018,996,48,42,2018,D,congressional,congressional
IBD/TIPP,10/3/2018,846,45,43,2018,D,congressional,congressional
Reuters/Ipsos,10/2/2018,1840,50,38,2018,D,congressional,congressional
Harvard-Harris,9/30/2018,1330,45,37,2018,D,congressional,congressional
Quinnipiac,9/30/2018,1111,49,42,2018,D,congressional,congressional
Rasmussen Reports,9/27/2018,2500,47,42,2018,D,congressional,congressional
Harvard-Harris,9/27/2018,1228,45,36,2018,D,congressional,congressional
Economist/YouGov,9/25/2018,1238,46,38,2018,D,congressional,congressional
NPR/PBS/Marist,9/24/2018,802,48,41,2018,D,congressional,congressional
Reuters/Ipsos,9/25/2018,1425,48,41,2018,D,congressional,congressional
Pew Research,9/24/2018,1439,52,42,2018,D,congressional,congressional
Gallup,9/23/2018,1308,51,42,2018,D,congressional,congressional
Rasmussen Reports,9/20/2018,2500,46,43,2018,D,congressional,congressional
FOX News,9/19/2018,818,49,42,2018,D,congressional,congressional
NBC News/Wall St. Jrnl,9/19/2018,594,51,43,2018,D,congressional,congressional
Economist/YouGov,9/18/2018,1195,45,41,2018,D,congressional,congressional
Reuters/Ipsos,9/18/2018,1304,48,41,2018,D,congressional,congressional
Rasmussen Reports,9/13/2018,2500,47,42,2018,D,congressional,congressional
Economist/YouGov,9/11/2018,1220,44,41,2018,D,congressional,congressional
Reuters/Ipsos,9/11/2018,1226,49,41,2018,D,congressional,congressional
Quinnipiac,9/9/2018,1038,52,38,2018,D,congressional,congressional
CNN,9/9/2018,775,52,42,2018,D,congressional,congressional
NPR/Marist,9/9/2018,777,50,38,2018,D,congressional,congressional
Rasmussen Reports,9/6/2018,2500,46,42,2018,D,congressional,congressional
Economist/YouGov,9/4/2018,1254,45,40,2018,D,congressional,congressional
Reuters/Ipsos,9/4/2018,2012,44,35,2018,D,congressional,congressional
Grinnell/Selzer,9/2/2018,779,45,43,2018,D,congressional,congressional
Emerson,8/31/2018,1000,52,39,2018,D,congressional,congressional
Rasmussen Reports,8/30/2018,2500,46,42,2018,D,congressional,congressional
ABC News/Wash Post,8/29/2018,879,52,38,2018,D,congressional,congressional
Economist/YouGov,8/28/2018,1249,45,39,2018,D,congressional,congressional
USA Today/Suffolk,8/28/2018,1000,50,39,2018,D,congressional,congressional
IBD/TIPP,8/30/2018,857,50,39,2018,D,congressional,congressional
Reuters/Ipsos,8/28/2018,2920,47,34,2018,D,congressional,congressional
Harvard-Harris,8/23/2018,1330,45,37,2018,D,congressional,congressional
Rasmussen Reports,8/23/2018,2500,46,41,2018,D,congressional,congressional
NBC News/Wall St. Jrnl,8/22/2018,900,50,42,2018,D,congressional,congressional
Economist/YouGov,8/21/2018,1247,44,38,2018,D,congressional,congressional
FOX News,8/21/2018,1009,49,38,2018,D,congressional,congressional
Reuters/Ipsos,8/21/2018,1885,41,37,2018,D,congressional,congressional
Monmouth,8/19/2018,725,48,43,2018,D,congressional,congressional
Rasmussen Reports,8/16/2018,2500,44,44,2018,D,congressional,congressional
Economist/YouGov,8/14/2018,1250,44,40,2018,D,congressional,congressional
Reuters/Ipsos,8/14/2018,1860,45,36,2018,D,congressional,congressional
Quinnipiac,8/13/2018,1175,51,42,2018,D,congressional,congressional
CNN,8/12/2018,921,52,41,2018,D,congressional,congressional
Pew Research,8/12/2018,3986,46,39,2018,D,congressional,congressional
Rasmussen Reports,8/9/2018,2500,48,41,2018,D,congressional,congressional
Economist/YouGov,8/7/2018,1289,44,41,2018,D,congressional,congressional
Reuters/Ipsos,8/7/2018,1479,41,39,2018,D,congressional,congressional
Rasmussen Reports,8/2/2018,2500,45,41,2018,D,congressional,congressional
IBD/TIPP,8/2/2018,878,45,45,2018,D,congressional,congressional
Economist/YouGov,7/31/2018,1222,44,40,2018,D,congressional,congressional
Reuters/Ipsos,7/31/2018,1571,42,36,2018,D,congressional,congressional
Rasmussen Reports,7/26/2018,2500,46,40,2018,D,congressional,congressional
Harvard-Harris,7/25/2018,1323,43,36,2018,D,congressional,congressional
Economist/YouGov,7/24/2018,1203,44,38,2018,D,congressional,congressional
Reuters/Ipsos,7/24/2018,1165,42,37,2018,D,congressional,congressional
NPR/PBS/Marist,7/22/2018,923,47,40,2018,D,congressional,congressional
Quinnipiac,7/23/2018,1177,51,39,2018,D,congressional,congressional
Rasmussen Reports,7/19/2018,2500,47,40,2018,D,congressional,congressional
NBC News/Wall St. Jrnl,7/18/2018,900,49,43,2018,D,congressional,congressional
Economist/YouGov,7/17/2018,1272,45,37,2018,D,congressional,congressional
Rasmussen Reports,7/12/2018,2500,46,41,2018,D,congressional,congressional
Reuters/Ipsos,7/17/2018,2357,44,35,2018,D,congressional,congressional
FOX News,7/11/2018,1007,48,40,2018,D,congressional,congressional
Economist/YouGov,7/10/2018,1246,42,38,2018,D,congressional,congressional
Reuters/Ipsos,7/10/2018,1295,47,34,2018,D,congressional,congressional
Emerson,7/7/2018,900,49,42,2018,D,congressional,congressional
Rasmussen Reports,7/5/2018,2500,48,40,2018,D,congressional,congressional
Economist/YouGov,7/3/2018,1263,42,38,2018,D,congressional,congressional
Rasmussen Reports,6/28/2018,2500,46,40,2018,D,congressional,congressional
Reuters/Ipsos,7/2/2018,2252,44,34,2018,D,congressional,congressional
Quinnipiac,7/1/2018,1020,50,41,2018,D,congressional,congressional
Harvard-Harris,6/25/2018,1448,45,36,2018,D,congressional,congressional
IBD/TIPP,6/29/2018,900,48,40,2018,D,congressional,congressional
Economist/YouGov,6/26/2018,1278,43,38,2018,D,congressional,congressional
Reuters/Ipsos,6/26/2018,1199,41,38,2018,D,congressional,congressional
Rasmussen Reports,6/21/2018,2500,45,41,2018,D,congressional,congressional
Economist/YouGov,6/19/2018,1272,44,37,2018,D,congressional,congressional
Reuters/Ipsos,6/19/2018,1604,42,36,2018,D,congressional,congressional
USA Today/Suffolk,6/18/2018,1000,45,39,2018,D,congressional,congressional
Quinnipiac,6/17/2018,905,49,43,2018,D,congressional,congressional
CNN,6/17/2018,901,50,42,2018,D,congressional,congressional
Gallup,6/17/2018,1346,48,43,2018,D,congressional,congressional
Monmouth,6/13/2018,711,48,41,2018,D,congressional,congressional
Rasmussen Reports,6/14/2018,2500,45,41,2018,D,congressional,congressional
Economist/YouGov,6/12/2018,1308,43,37,2018,D,congressional,congressional
Reuters/Ipsos,6/12/2018,2018,45,35,2018,D,congressional,congressional
PPP (D),6/10/2018,679,46,40,2018,D,congressional,congressional
Pew Research,6/12/2018,1608,48,43,2018,D,congressional,congressional
Rasmussen Reports,6/7/2018,2500,44,40,2018,D,congressional,congressional
FOX News,6/6/2018,1001,48,39,2018,D,congressional,congressional
Economist/YouGov,6/5/2018,1292,44,38,2018,D,congressional,congressional
Reuters/Ipsos,6/5/2018,1265,43,32,2018,D,congressional,congressional
NBC News/Wall St. Jrnl,6/4/2018,900,50,40,2018,D,congressional,congressional
Quinnipiac,6/5/2018,1223,47,40,2018,D,congressional,congressional
IBD/TIPP,6/5/2018,905,47,40,2018,D,congressional,congressional
Rasmussen Reports,5/31/2018,2500,45,41,2018,D,congressional,congressional
Economist/YouGov,5/29/2018,1279,42,39,2018,D,congressional,congressional
