index,pollster,date,sampleSize,marginError,dvalue,rvalue,state,type,year,winner,Type,level_0
3,Emerson,10/4/2023,491.0,4.4,32.0,45.0,Missouri,senate,2024,ongoing,senate,
1,The Hill/Emerson,8/6/2024,1000.0,3.0,46.0,48.0,Montana,senate,2024,ongoing,senate,
2,Remington Research (R),7/1/2024,,4.0,45.0,50.0,Montana,senate,2024,ongoing,senate,
6,The Hill/Emerson,3/2/2024,1000.0,3.0,44.0,42.0,Montana,senate,2024,ongoing,senate,
7,KULR-8/SurveyUSA,2/15/2024,549.0,4.5,49.0,40.0,Montana,senate,2024,ongoing,senate,
8,Emerson,10/4/2023,447.0,4.6,39.0,35.0,Montana,senate,2024,ongoing,senate,
1,Rasmussen Reports,7/12/2024,761.0,3.0,45.0,42.0,Nevada,senate,2024,ongoing,senate,
2,The Times/SAY,7/12/2024,800.0,4.7,47.0,40.0,Nevada,senate,2024,ongoing,senate,
3,Remington Research (R),7/1/2024,601.0,4.0,48.0,46.0,Nevada,senate,2024,ongoing,senate,
4,Noble Predictive Insights,6/5/2024,424.0,4.8,43.5,34.0,Nevada,senate,2024,ongoing,senate,
5,Noble Predictive Insights,2/5/2024,296.0,5.7,44.0,34.0,Nevada,senate,2024,ongoing,senate,
7,The Hill/Emerson,3/15/2024,1000.0,3.0,,,Nevada,senate,2024,ongoing,senate,
8,Noble Predictive Insights,2/5/2024,829.0,3.4,,,Nevada,senate,2024,ongoing,senate,
0,Fairleigh Dickinson,4/8/2024,809.0,4.3,45.0,39.0,New Jersey,senate,2024,ongoing,senate,
1,Fairleigh Dickinson,4/8/2024,809.0,4.3,44.0,38.0,New Jersey,senate,2024,ongoing,senate,
2,Fairleigh Dickinson,4/8/2024,809.0,4.3,49.0,39.0,New Jersey,senate,2024,ongoing,senate,
3,Fairleigh Dickinson,4/8/2024,809.0,4.3,47.0,38.0,New Jersey,senate,2024,ongoing,senate,
1,Fabrizio/Anzalone,7/28/2024,600.0,4.0,46.0,42.0,Ohio,senate,2024,ongoing,senate,
2,Remington Research (R),7/1/2024,,4.0,50.0,44.0,Ohio,senate,2024,ongoing,senate,
3,Marist,6/6/2024,1137.0,3.6,50.0,45.0,Ohio,senate,2024,ongoing,senate,
4,East Carolina U.,3/11/2024,1298.0,3.2,45.0,41.0,Ohio,senate,2024,ongoing,senate,
5,ONU/SurveyUSA,3/11/2024,1121.0,3.3,43.0,37.0,Ohio,senate,2024,ongoing,senate,
12,The Hill/Emerson,3/10/2024,1300.0,2.6,39.0,34.0,Ohio,senate,2024,ongoing,senate,
13,Emerson,1/25/2024,1844.0,2.3,39.0,37.0,Ohio,senate,2024,ongoing,senate,
14,WJW-TV/Emerson,11/13/2023,1000.0,3.0,42.0,32.0,Ohio,senate,2024,ongoing,senate,
15,Data for Progress (D)**,11/2/2023,597.0,4.0,47.0,44.0,Ohio,senate,2024,ongoing,senate,
16,Emerson,10/4/2023,438.0,4.5,35.0,33.0,Ohio,senate,2024,ongoing,senate,
17,USA Today/Suffolk,7/12/2023,500.0,4.4,48.0,41.0,Ohio,senate,2024,ongoing,senate,
18,East Carolina U.,6/24/2023,805.0,4.0,46.0,42.0,Ohio,senate,2024,ongoing,senate,
1,NY Times/Siena,8/8/2024,693.0,,51.0,37.0,Pennsylvania,senate,2024,ongoing,senate,
2,Susquehanna,7/28/2024,600.0,4.0,47.0,42.0,Pennsylvania,senate,2024,ongoing,senate,
3,FOX News,7/24/2024,1034.0,3.0,55.0,42.0,Pennsylvania,senate,2024,ongoing,senate,
4,The Hill/Emerson,7/23/2024,850.0,3.3,48.0,44.0,Pennsylvania,senate,2024,ongoing,senate,
5,AmGreatness/NSOR,7/23/2024,600.0,4.0,49.0,41.0,Pennsylvania,senate,2024,ongoing,senate,
6,PPP (D),7/11/2024,537.0,,47.0,44.0,Pennsylvania,senate,2024,ongoing,senate,
7,Rasmussen Reports,7/12/2024,1041.0,3.0,46.0,43.0,Pennsylvania,senate,2024,ongoing,senate,
8,The Times/SAY,7/12/2024,1000.0,3.4,50.0,38.0,Pennsylvania,senate,2024,ongoing,senate,
9,Remington Research (R),7/1/2024,673.0,4.0,49.0,48.0,Pennsylvania,senate,2024,ongoing,senate,
17,NY Times/Siena,7/11/2024,872.0,,50.0,42.0,Pennsylvania,senate,2024,ongoing,senate,
21,Cygnal (R),6/28/2024,800.0,3.5,46.0,42.0,Pennsylvania,senate,2024,ongoing,senate,
22,The Hill/Emerson,6/18/2024,1000.0,3.0,47.0,41.0,Pennsylvania,senate,2024,ongoing,senate,
23,Marist,6/6/2024,1181.0,3.6,52.0,46.0,Pennsylvania,senate,2024,ongoing,senate,
24,Cook Political Report,5/13/2024,730.0,3.6,49.0,41.0,Pennsylvania,senate,2024,ongoing,senate,
25,NY Times/Siena,5/9/2024,1023.0,3.6,46.0,44.0,Pennsylvania,senate,2024,ongoing,senate,
26,Fabrizio/Anzalone,4/30/2024,1398.0,4.0,48.0,44.0,Pennsylvania,senate,2024,ongoing,senate,
27,Muhlenberg College,4/25/2024,417.0,6.0,45.0,41.0,Pennsylvania,senate,2024,ongoing,senate,
28,The Hill/Emerson,4/29/2024,1000.0,3.0,46.0,42.0,Pennsylvania,senate,2024,ongoing,senate,
29,CBS News,4/25/2024,1306.0,3.1,46.0,39.0,Pennsylvania,senate,2024,ongoing,senate,
30,Franklin u0026amp; Marshall,3/31/2024,870.0,4.0,46.0,39.0,Pennsylvania,senate,2024,ongoing,senate,
31,The Hill/Emerson,3/13/2024,1000.0,3.0,52.0,48.0,Pennsylvania,senate,2024,ongoing,senate,
32,Susquehanna,3/5/2024,450.0,4.6,48.0,42.0,Pennsylvania,senate,2024,ongoing,senate,
33,The Hill/Emerson,2/16/2024,1000.0,3.0,49.0,39.0,Pennsylvania,senate,2024,ongoing,senate,
34,Franklin u0026amp; Marshall,1/28/2024,1006.0,3.6,47.0,35.0,Pennsylvania,senate,2024,ongoing,senate,
35,Susquehanna,1/21/2024,745.0,3.7,46.0,42.0,Pennsylvania,senate,2024,ongoing,senate,
36,Quinnipiac,1/8/2024,1680.0,2.4,53.0,43.0,Pennsylvania,senate,2024,ongoing,senate,
37,Franklin u0026amp; Marshall,10/22/2023,873.0,4.1,46.0,39.0,Pennsylvania,senate,2024,ongoing,senate,
38,Emerson,10/4/2023,430.0,4.7,41.0,33.0,Pennsylvania,senate,2024,ongoing,senate,
39,Quinnipiac,10/2/2023,1725.0,2.4,50.0,44.0,Pennsylvania,senate,2024,ongoing,senate,
40,Susquehanna,5/8/2023,700.0,3.7,53.0,41.0,Pennsylvania,senate,2024,ongoing,senate,
41,Franklin u0026amp; Marshall,4/7/2023,643.0,4.9,42.0,35.0,Pennsylvania,senate,2024,ongoing,senate,
1,Vanderbilt University,5/9/2024,1003.0,3.4,40.0,51.0,Tennessee,senate,2024,ongoing,senate,
2,Emerson,10/4/2024,410.0,4.8,26.0,50.0,Tennessee,senate,2024,ongoing,senate,
5,Vanderbilt University,12/2/2024,1005.0,3.4,36.0,53.0,Tennessee,senate,2024,ongoing,senate,
1,Remington Research (R),7/1/2024,589.0,4.0,43.0,53.0,Texas,senate,2024,ongoing,senate,
2,University of Houston*,7/1/2024,1484.0,2.5,44.0,47.0,Texas,senate,2024,ongoing,senate,
3,University of Texas,6/9/2024,1200.0,2.8,34.0,45.0,Texas,senate,2024,ongoing,senate,
4,TX Hispanic Policy Foundation*,4/10/2024,1600.0,2.5,41.0,46.0,Texas,senate,2024,ongoing,senate,
5,Cygnal (R)*,4/6/2024,1000.0,2.9,36.0,45.0,Texas,senate,2024,ongoing,senate,
10,University of Texas,4/22/2024,1200.0,2.8,33.0,46.0,Texas,senate,2024,ongoing,senate,
13,Marist,3/21/2024,1117.0,3.8,45.0,51.0,Texas,senate,2024,ongoing,senate,
14,University of Texas,2/12/2024,1200.0,2.8,32.0,46.0,Texas,senate,2024,ongoing,senate,
15,University of Houston*,1/24/2024,1145.0,2.5,39.0,48.0,Texas,senate,2024,ongoing,senate,
16,Emerson,1/15/2024,1315.0,2.6,40.0,42.0,Texas,senate,2024,ongoing,senate,
17,University of Texas,12/10/2023,1200.0,2.4,27.0,43.0,Texas,senate,2024,ongoing,senate,
0,Cascade PBS/Elway,5/16/2024,403.0,5.0,39.0,30.0,Washington,senate,2024,ongoing,senate,
1,Cascade PBS/Elway,11/3/2024,403.0,5.0,43.0,23.0,Washington,senate,2024,ongoing,senate,
1,NY Times/Siena,8/8/2024,661.0,,51.0,44.0,Wisconsin,senate,2024,ongoing,senate,
2,Marquette,8/1/2024,801.0,4.8,52.0,47.0,Wisconsin,senate,2024,ongoing,senate,
3,FOX News,7/24/2024,1046.0,3.0,54.0,43.0,Wisconsin,senate,2024,ongoing,senate,
4,The Hill/Emerson,7/23/2024,845.0,3.3,49.0,43.0,Wisconsin,senate,2024,ongoing,senate,
5,PPP (D),7/11/2024,548.0,,51.0,43.0,Wisconsin,senate,2024,ongoing,senate,
6,Rasmussen Reports,7/12/2024,1020.0,3.0,47.0,43.0,Wisconsin,senate,2024,ongoing,senate,
7,The Times/SAY,7/12/2024,900.0,4.1,50.0,43.0,Wisconsin,senate,2024,ongoing,senate,
8,AmGreatness/NSOR,7/10/2024,600.0,4.0,49.0,41.0,Wisconsin,senate,2024,ongoing,senate,
9,Remington Research (R),7/1/2024,539.0,4.0,48.0,48.0,Wisconsin,senate,2024,ongoing,senate,
10,Fabrizio/Anzalone,7/2/2024,600.0,4.0,50.0,45.0,Wisconsin,senate,2024,ongoing,senate,
22,Marquette,6/20/2024,871.0,4.6,45.0,38.0,Wisconsin,senate,2024,ongoing,senate,
23,The Hill/Emerson,6/18/2024,1000.0,3.0,46.0,44.0,Wisconsin,senate,2024,ongoing,senate,
24,Cook Political Report,5/13/2024,503.0,4.4,49.0,37.0,Wisconsin,senate,2024,ongoing,senate,
25,Quinnipiac,5/6/2024,1457.0,2.6,54.0,42.0,Wisconsin,senate,2024,ongoing,senate,
26,NY Times/Siena,5/9/2024,614.0,4.5,49.0,42.0,Wisconsin,senate,2024,ongoing,senate,
27,The Hill/Emerson,4/29/2024,1000.0,3.0,46.0,43.0,Wisconsin,senate,2024,ongoing,senate,
28,CBS News,4/25/2024,1245.0,3.2,48.0,41.0,Wisconsin,senate,2024,ongoing,senate,
29,Marquette,4/10/2024,814.0,4.8,52.0,47.0,Wisconsin,senate,2024,ongoing,senate,
30,The Hill/Emerson,3/18/2024,1000.0,3.0,45.0,42.0,Wisconsin,senate,2024,ongoing,senate,
31,The Hill/Emerson,2/24/2024,1000.0,3.0,46.0,39.0,Wisconsin,senate,2024,ongoing,senate,
1,Quinnipiac,7/21/2024,1257.0,2.8,45.0,48.0,national,national,2024,ongoing,national,0.0
2,Forbes/HarrisX,7/21/2024,2753.0,1.9,47.0,53.0,national,national,2024,ongoing,national,1.0
3,CBS News,7/18/2024,2247.0,2.7,47.0,52.0,national,national,2024,ongoing,national,2.0
4,Emerson,7/16/2024,2000.0,2.1,42.0,46.0,national,national,2024,ongoing,national,3.0
5,Morning Consult,7/17/2024,9414.0,1.0,42.0,46.0,national,national,2024,ongoing,national,4.0
6,Reuters/Ipsos,7/16/2024,992.0,3.3,41.0,43.0,national,national,2024,ongoing,national,5.0
7,NPR/PBS/Marist,7/10/2024,1174.0,3.3,50.0,48.0,national,national,2024,ongoing,national,6.0
8,Rasmussen Reports,7/11/2024,1847.0,2.0,43.0,49.0,national,national,2024,ongoing,national,7.0
9,FOX News,7/10/2024,1210.0,3.0,48.0,49.0,national,national,2024,ongoing,national,8.0
10,NBC News,7/9/2024,800.0,3.5,43.0,45.0,national,national,2024,ongoing,national,9.0
18,Forbes/HarrisX,7/15/2024,1918.0,2.2,49.0,51.0,national,national,2024,ongoing,national,10.0
19,Morning Consult,7/14/2024,11328.0,1.0,42.0,44.0,national,national,2024,ongoing,national,11.0
24,Emerson,7/8/2024,1370.0,2.6,43.0,46.0,national,national,2024,ongoing,national,12.0
25,ABC News/Wash Post,7/9/2024,2041.0,2.0,46.0,46.0,national,national,2024,ongoing,national,13.0
26,Morning Consult,7/7/2024,11323.0,1.0,42.0,44.0,national,national,2024,ongoing,national,14.0
27,Wall Street Journal,7/2/2024,1500.0,2.5,42.0,48.0,national,national,2024,ongoing,national,15.0
28,NY Times/Siena,7/2/2024,1532.0,2.3,43.0,49.0,national,national,2024,ongoing,national,16.0
29,Yahoo News,7/1/2024,1171.0,2.9,43.0,45.0,national,national,2024,ongoing,national,17.0
30,CBS News,7/2/2024,2826.0,2.3,48.0,50.0,national,national,2024,ongoing,national,18.0
31,Reuters/Ipsos,7/2/2024,892.0,3.5,40.0,40.0,national,national,2024,ongoing,national,19.0
32,Harvard-Harris,6/30/2024,2090.0,,48.0,52.0,national,national,2024,ongoing,national,20.0
33,CNN,6/30/2024,1045.0,3.7,43.0,49.0,national,national,2024,ongoing,national,21.0
34,Morning Consult,6/30/2024,10679.0,1.0,43.0,44.0,national,national,2024,ongoing,national,22.0
35,SurveyUSA,6/28/2024,2315.0,2.5,43.0,45.0,national,national,2024,ongoing,national,23.0
36,Forbes/HarrisX,6/30/2024,1500.0,2.5,48.0,52.0,national,national,2024,ongoing,national,24.0
37,Data for Progress (D)**,6/28/2024,1011.0,3.0,45.0,48.0,national,national,2024,ongoing,national,25.0
38,Morning Consult,6/28/2024,2068.0,2.0,45.0,44.0,national,national,2024,ongoing,national,26.0
39,I&amp;I/TIPP,6/28/2024,1244.0,2.8,43.0,41.0,national,national,2024,ongoing,national,27.0
40,NY Times/Siena,6/25/2024,1226.0,3.5,44.0,48.0,national,national,2024,ongoing,national,28.0
41,Quinnipiac,6/24/2024,1405.0,2.6,45.0,49.0,national,national,2024,ongoing,national,29.0
42,Morning Consult,6/23/2024,10159.0,1.0,44.0,44.0,national,national,2024,ongoing,national,30.0
43,Rasmussen Reports,6/20/2024,1000.0,3.0,40.0,49.0,national,national,2024,ongoing,national,31.0
44,CBS News,6/21/2024,1881.0,3.4,49.0,50.0,national,national,2024,ongoing,national,32.0
45,FOX News,6/17/2024,1095.0,3.0,50.0,48.0,national,national,2024,ongoing,national,33.0
46,Morning Consult,6/16/2024,10132.0,1.0,44.0,43.0,national,national,2024,ongoing,national,34.0
47,NPR/PBS/Marist,6/12/2024,1184.0,3.8,49.0,49.0,national,national,2024,ongoing,national,35.0
48,Reuters/Ipsos,6/11/2024,930.0,3.0,39.0,41.0,national,national,2024,ongoing,national,36.0
49,Daily Kos/Civiqs,6/11/2024,1140.0,3.1,45.0,45.0,national,national,2024,ongoing,national,37.0
50,Morning Consult,6/9/2024,10260.0,1.0,44.0,43.0,national,national,2024,ongoing,national,38.0
51,CBS News,6/7/2024,1359.0,,49.0,50.0,national,national,2024,ongoing,national,39.0
52,Emerson,6/5/2024,1000.0,3.0,45.0,46.0,national,national,2024,ongoing,national,40.0
53,Yahoo News,6/6/2024,1239.0,,46.0,44.0,national,national,2024,ongoing,national,41.0
54,Morning Consult,6/2/2024,10404.0,1.0,43.0,44.0,national,national,2024,ongoing,national,42.0
55,Morning Consult,5/31/2024,2200.0,,45.0,44.0,national,national,2024,ongoing,national,43.0
56,Forbes/HarrisX,5/31/2024,1006.0,3.1,49.0,51.0,national,national,2024,ongoing,national,44.0
57,Reuters/Ipsos,5/31/2024,2135.0,2.0,41.0,39.0,national,national,2024,ongoing,national,45.0
58,I&amp;I/TIPP,5/31/2024,1675.0,2.5,41.0,41.0,national,national,2024,ongoing,national,46.0
59,Rasmussen Reports,5/30/2024,1080.0,3.0,43.0,48.0,national,national,2024,ongoing,national,47.0
60,Morning Consult,5/28/2024,10721.0,1.0,42.0,44.0,national,national,2024,ongoing,national,48.0
61,Emerson,5/23/2024,1000.0,2.9,44.0,46.0,national,national,2024,ongoing,national,49.0
62,NPR/PBS/Marist,5/23/2024,1122.0,3.7,50.0,48.0,national,national,2024,ongoing,national,50.0
63,Quinnipiac,5/20/2024,1374.0,2.6,48.0,47.0,national,national,2024,ongoing,national,51.0
64,Morning Consult,5/19/2024,10172.0,1.0,43.0,44.0,national,national,2024,ongoing,national,52.0
65,Harvard-Harris,5/16/2024,1660.0,,47.0,53.0,national,national,2024,ongoing,national,53.0
66,FOX News,5/13/2024,1126.0,4.0,48.0,49.0,national,national,2024,ongoing,national,54.0
67,Yahoo News,5/13/2024,1202.0,,45.0,45.0,national,national,2024,ongoing,national,55.0
68,Morning Consult,5/12/2024,10243.0,1.0,43.0,44.0,national,national,2024,ongoing,national,56.0
69,Marquette,5/15/2024,811.0,4.6,50.0,50.0,national,national,2024,ongoing,national,57.0
70,Reuters/Ipsos,5/14/2024,3208.0,2.0,40.0,40.0,national,national,2024,ongoing,national,58.0
71,Morning Consult,5/5/2024,9918.0,1.0,43.0,44.0,national,national,2024,ongoing,national,59.0
72,I&amp;I/TIPP,5/3/2024,1264.0,2.8,42.0,40.0,national,national,2024,ongoing,national,60.0
73,ABC News/Ipsos,4/30/2024,,,46.0,45.0,national,national,2024,ongoing,national,61.0
74,Morning Consult,4/28/2024,10109.0,1.0,43.0,43.0,national,national,2024,ongoing,national,62.0
75,Harvard-Harris,4/25/2024,1961.0,,48.0,52.0,national,national,2024,ongoing,national,63.0
76,NPR/PBS/Marist,4/25/2024,1109.0,3.7,50.0,48.0,national,national,2024,ongoing,national,64.0
77,CNN,4/23/2024,967.0,3.8,43.0,49.0,national,national,2024,ongoing,national,65.0
78,Quinnipiac,4/22/2024,1429.0,2.6,46.0,46.0,national,national,2024,ongoing,national,66.0
79,Morning Consult,4/21/2024,9791.0,1.0,44.0,43.0,national,national,2024,ongoing,national,67.0
80,Marist,4/18/2024,1047.0,3.6,51.0,48.0,national,national,2024,ongoing,national,68.0
81,Emerson,4/17/2024,1308.0,2.6,43.0,46.0,national,national,2024,ongoing,national,69.0
82,Morning Consult,4/17/2024,7990.0,1.0,42.0,42.0,national,national,2024,ongoing,national,70.0
83,Daily Kos/Civiqs,4/16/2024,1161.0,3.0,44.0,45.0,national,national,2024,ongoing,national,71.0
84,NBC News,4/16/2024,1000.0,3.0,44.0,46.0,national,national,2024,ongoing,national,72.0
85,Yahoo News,4/15/2024,1171.0,,44.0,44.0,national,national,2024,ongoing,national,73.0
86,NY Times/Siena,4/11/2024,1059.0,3.5,46.0,47.0,national,national,2024,ongoing,national,74.0
87,Morning Consult,4/7/2024,6236.0,1.0,43.0,44.0,national,national,2024,ongoing,national,75.0
88,Reuters/Ipsos,4/7/2024,833.0,4.0,41.0,37.0,national,national,2024,ongoing,national,76.0
89,I&amp;I/TIPP,4/5/2024,1265.0,2.8,43.0,40.0,national,national,2024,ongoing,national,77.0
90,Emerson,4/3/2024,1438.0,2.5,45.0,46.0,national,national,2024,ongoing,national,78.0
91,Rasmussen Reports,4/2/2024,1099.0,3.0,41.0,49.0,national,national,2024,ongoing,national,79.0
92,Morning Consult,3/31/2024,6018.0,1.0,44.0,42.0,national,national,2024,ongoing,national,80.0
93,Data for Progress (D)**,3/29/2024,1200.0,3.0,47.0,46.0,national,national,2024,ongoing,national,81.0
94,NPR/PBS/Marist,3/28/2024,1199.0,3.7,50.0,48.0,national,national,2024,ongoing,national,82.0
95,Forbes/HarrisX,3/25/2024,1010.0,3.1,50.0,50.0,national,national,2024,ongoing,national,83.0
96,FOX News,3/25/2024,1094.0,3.0,45.0,50.0,national,national,2024,ongoing,national,84.0
97,Quinnipiac,3/25/2024,1407.0,2.6,48.0,45.0,national,national,2024,ongoing,national,85.0
98,Marquette,3/28/2024,868.0,4.3,50.0,50.0,national,national,2024,ongoing,national,86.0
99,Morning Consult,3/24/2024,5833.0,1.0,44.0,43.0,national,national,2024,ongoing,national,87.0
100,Harvard-Harris,3/21/2024,2111.0,,49.0,51.0,national,national,2024,ongoing,national,88.0
101,CNBC,3/19/2024,1001.0,3.1,45.0,46.0,national,national,2024,ongoing,national,89.0
102,Morning Consult,3/17/2024,5777.0,1.0,43.0,43.0,national,national,2024,ongoing,national,90.0
103,Grinnell/Selzer,3/17/2024,715.0,3.7,38.0,45.0,national,national,2024,ongoing,national,91.0
104,Economist/YouGov,3/12/2024,1367.0,3.5,42.0,44.0,national,national,2024,ongoing,national,92.0
105,Daily Kos/Civiqs,3/12/2024,1324.0,2.8,45.0,44.0,national,national,2024,ongoing,national,93.0
106,Reuters/Ipsos,3/13/2024,3356.0,1.8,50.0,48.0,national,national,2024,ongoing,national,94.0
107,Yahoo News,3/11/2024,990.0,,44.0,46.0,national,national,2024,ongoing,national,95.0
108,Forbes/HarrisX,3/10/2024,2017.0,2.2,48.0,52.0,national,national,2024,ongoing,national,96.0
109,Morning Consult,3/10/2024,6300.0,1.0,43.0,44.0,national,national,2024,ongoing,national,97.0
110,Rasmussen Reports,3/7/2024,912.0,3.0,41.0,49.0,national,national,2024,ongoing,national,98.0
111,Emerson,3/6/2024,1350.0,2.6,51.0,49.0,national,national,2024,ongoing,national,99.0
112,Economist/YouGov,3/5/2024,1450.0,3.2,42.0,44.0,national,national,2024,ongoing,national,100.0
113,Morning Consult,3/3/2024,6334.0,1.0,44.0,43.0,national,national,2024,ongoing,national,101.0
114,CBS News,3/1/2024,1436.0,,48.0,52.0,national,national,2024,ongoing,national,102.0
115,I&amp;I/TIPP,3/1/2024,1246.0,2.8,43.0,42.0,national,national,2024,ongoing,national,103.0
116,NY Times/Siena,2/28/2024,980.0,3.5,44.0,48.0,national,national,2024,ongoing,national,104.0
117,FOX News,2/28/2024,1262.0,2.5,47.0,49.0,national,national,2024,ongoing,national,105.0
118,Forbes/HarrisX,2/28/2024,3021.0,1.8,48.0,52.0,national,national,2024,ongoing,national,106.0
119,Economist/YouGov,2/27/2024,1498.0,3.2,44.0,44.0,national,national,2024,ongoing,national,107.0
120,Wall Street Journal,2/28/2024,1500.0,2.5,45.0,47.0,national,national,2024,ongoing,national,108.0
121,Morning Consult,2/25/2024,6224.0,1.0,43.0,44.0,national,national,2024,ongoing,national,109.0
122,Harvard-Harris,2/22/2024,2022.0,,47.0,53.0,national,national,2024,ongoing,national,110.0
